"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"1931","Thamnophilus doliatus","Thamnophilus doliatus","Thamnophilus doliatus","Thamnophilidae (Typical Antbirds)","Barred Antshrike",1.35081720692308,NA,NA,NA,NA
"1932","Thamnophilus ruficapillus","Thamnophilus ruficapillus","Thamnophilus ruficapillus","Thamnophilidae (Typical Antbirds)","Rufous-capped Antshrike",1.83254310666667,NA,NA,NA,NA
"1933","Thamnophilus torquatus","Thamnophilus torquatus","Thamnophilus torquatus","Thamnophilidae (Typical Antbirds)","Rufous-winged Antshrike",1.384193241,NA,NA,NA,NA
"1934","Thamnophilus multistriatus","Thamnophilus multistriatus","Thamnophilus multistriatus","Thamnophilidae (Typical Antbirds)","Bar-crested Antshrike",0.761000844,NA,NA,NA,NA
"1935","Thamnophilus palliatus","Thamnophilus palliatus","Thamnophilus palliatus","Thamnophilidae (Typical Antbirds)","Chestnut-backed Antshrike",0.026251688,NA,NA,NA,NA
"1936","Sakesphorus bernardi","Thamnophilus bernardi","Thamnophilus bernardi","Thamnophilidae (Typical Antbirds)","Collared Antshrike",0.859408744,NA,NA,NA,NA
"1937","Thamnophilus atrinucha","Thamnophilus atrinucha","Thamnophilus atrinucha","Thamnophilidae (Typical Antbirds)","Black-crowned Antshrike",0.447022851,NA,NA,NA,NA
"1938","Thamnophilus schistaceus","Thamnophilus schistaceus","Thamnophilus schistaceus","Thamnophilidae (Typical Antbirds)","Plain-winged Antshrike",0.009829953,NA,NA,NA,NA
"1939","Thamnophilus murinus","Thamnophilus murinus","Thamnophilus murinus","Thamnophilidae (Typical Antbirds)","Mouse-colored Antshrike",0.6201850865,NA,NA,NA,NA
"1940","Thamnophilus punctatus","Thamnophilus punctatus","Thamnophilus punctatus","Thamnophilidae (Typical Antbirds)","Northern Slaty-Antshrike",0.503188443,NA,NA,NA,NA
"1941","Thamnophilus pelzelni","Thamnophilus pelzelni","Thamnophilus pelzelni","Thamnophilidae (Typical Antbirds)","Planalto Slaty-Antshrike",0.650357553,NA,NA,NA,NA
"1942","Thamnophilus caerulescens","Thamnophilus caerulescens","Thamnophilus caerulescens","Thamnophilidae (Typical Antbirds)","Variable Antshrike",0.951174582888889,NA,NA,NA,NA
"1943","Myrmotherula gularis","Rhopias gularis","Rhopias gularis","Thamnophilidae (Typical Antbirds)","Star-throated Antwren",0.905227805,NA,NA,NA,NA
"1944","Thamnistes anabatinus","Thamnistes anabatinus","Thamnistes anabatinus","Thamnophilidae (Typical Antbirds)","Russet Antshrike",0.191172782,NA,NA,NA,NA
"1945","Dysithamnus stictothorax","Dysithamnus stictothorax","Dysithamnus stictothorax","Thamnophilidae (Typical Antbirds)","Spot-breasted Antvireo",0.815588084,NA,NA,NA,NA
"1946","Dysithamnus mentalis","Dysithamnus mentalis","Dysithamnus mentalis","Thamnophilidae (Typical Antbirds)","Plain Antvireo",0.792111695333333,NA,NA,NA,NA
"1947","Dysithamnus puncticeps","Dysithamnus puncticeps","Dysithamnus puncticeps","Thamnophilidae (Typical Antbirds)","Spot-crowned Antvireo",0.175690815,NA,NA,NA,NA
"1948","Thamnomanes caesius","Thamnomanes caesius","Thamnomanes caesius","Thamnophilidae (Typical Antbirds)","Cinereous Antshrike",0.022908611,NA,NA,NA,NA
"1949","Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnophilidae (Typical Antbirds)","Bluish-slate Antshrike",0.008254238,NA,NA,NA,NA
"1950","Epinecrophylla fulviventris","Epinecrophylla fulviventris","Epinecrophylla fulviventris","Thamnophilidae (Typical Antbirds)","Checker-throated Stipplethroat",0.248638129,NA,NA,NA,NA
"1951","Epinecrophylla ornata","Epinecrophylla ornata","Epinecrophylla ornata","Thamnophilidae (Typical Antbirds)","Ornate Stipplethroat",0.0118889,NA,NA,NA,NA
"1952","Myrmotherula brachyura","Myrmotherula brachyura","Myrmotherula brachyura","Thamnophilidae (Typical Antbirds)","Pygmy Antwren",0.0059228,NA,NA,NA,NA
"1953","Myrmotherula ignota","Myrmotherula ignota","Myrmotherula ignota","Thamnophilidae (Typical Antbirds)","Moustached Antwren",0.191367113,NA,NA,NA,NA
"1954","Myrmotherula pacifica","Myrmotherula pacifica","Myrmotherula pacifica","Thamnophilidae (Typical Antbirds)","Pacific Antwren",0.226782915,NA,NA,NA,NA
"1955","Myrmotherula longicauda","Myrmotherula longicauda","Myrmotherula longicauda","Thamnophilidae (Typical Antbirds)","Stripe-chested Antwren",0.045572997,NA,NA,NA,NA
"1956","Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula axillaris","Thamnophilidae (Typical Antbirds)","White-flanked Antwren",0.177730719,NA,NA,NA,NA
"1957","Myrmotherula schisticolor","Myrmotherula schisticolor","Myrmotherula schisticolor","Thamnophilidae (Typical Antbirds)","Slaty Antwren",0.131894742,NA,NA,NA,NA
"1958","Myrmotherula unicolor","Myrmotherula unicolor","Myrmotherula unicolor","Thamnophilidae (Typical Antbirds)","Unicolored Antwren",1.377710346,NA,NA,NA,NA
"1959","Herpsilochmus atricapillus","Herpsilochmus atricapillus","Herpsilochmus atricapillus","Thamnophilidae (Typical Antbirds)","Black-capped Antwren",0.649202556333333,NA,NA,NA,NA
"1960","Herpsilochmus gentryi","Herpsilochmus gentryi","Herpsilochmus gentryi","Thamnophilidae (Typical Antbirds)","Ancient Antwren",0.05123487,NA,NA,NA,NA
"1961","Herpsilochmus dorsimaculatus","Herpsilochmus dorsimaculatus","Herpsilochmus dorsimaculatus","Thamnophilidae (Typical Antbirds)","Spot-backed Antwren",1.286670645,NA,NA,NA,NA
"1962","Herpsilochmus longirostris","Herpsilochmus longirostris","Herpsilochmus longirostris","Thamnophilidae (Typical Antbirds)","Large-billed Antwren",1.3635272875,NA,NA,NA,NA
"1963","Herpsilochmus rufimarginatus","Herpsilochmus rufimarginatus","Herpsilochmus rufimarginatus","Thamnophilidae (Typical Antbirds)","Rufous-margined Antwren",1.50349026,NA,NA,NA,NA
"1964","Microrhopias quixensis","Microrhopias quixensis","Microrhopias quixensis","Thamnophilidae (Typical Antbirds)","Dot-winged Antwren",0.21682118,NA,NA,NA,NA
"1965","Formicivora grisea","Formicivora grisea","Formicivora grisea","Thamnophilidae (Typical Antbirds)","White-fringed Antwren",1.1046196278,NA,NA,NA,NA
"1966","Formicivora rufa","Formicivora rufa","Formicivora rufa","Thamnophilidae (Typical Antbirds)","Rusty-backed Antwren",0.217408034,NA,NA,NA,NA
"1967","Stymphalornis acutirostris","Formicivora acutirostris","Formicivora acutirostris","Thamnophilidae (Typical Antbirds)","Marsh Antwren",0.567328862,NA,NA,NA,NA
"1968","Drymophila ferruginea","Drymophila ferruginea","Drymophila ferruginea","Thamnophilidae (Typical Antbirds)","Ferruginous Antbird",1.801739163,NA,NA,NA,NA
"1969","Drymophila malura","Drymophila malura","Drymophila malura","Thamnophilidae (Typical Antbirds)","Dusky-tailed Antbird",0.679008119,NA,NA,NA,NA
"1970","Drymophila squamata","Drymophila squamata","Drymophila squamata","Thamnophilidae (Typical Antbirds)","Scaled Antbird",1.036231066,NA,NA,NA,NA
"1971","Drymophila caudata","Drymophila klagesi","Drymophila klagesi","Thamnophilidae (Typical Antbirds)","Klages's Antbird",1.849570294,NA,NA,NA,NA
"1972","Hypocnemis peruviana","Hypocnemis peruviana","Hypocnemis peruviana","Thamnophilidae (Typical Antbirds)","Peruvian Warbling-Antbird",0.050598747,NA,NA,NA,NA
"1973","Hypocnemis subflava","Hypocnemis subflava","Hypocnemis subflava","Thamnophilidae (Typical Antbirds)","Yellow-breasted Warbling-Antbird",0.021145146,NA,NA,NA,NA
"1974","Terenura maculata","Terenura maculata","Terenura maculata","Thamnophilidae (Typical Antbirds)","Streak-capped Antwren",0.538661676,NA,NA,NA,NA
"1975","Cercomacra tyrannina","Cercomacroides tyrannina","Cercomacroides tyrannina","Thamnophilidae (Typical Antbirds)","Dusky Antbird",0.523767066,NA,NA,NA,NA
"1976","Cercomacra manu","Cercomacra manu","Cercomacra manu","Thamnophilidae (Typical Antbirds)","Manu Antbird",0.030999176,NA,NA,NA,NA
"1977","Cercomacra cinerascens","Cercomacra cinerascens","Cercomacra cinerascens","Thamnophilidae (Typical Antbirds)","Gray Antbird",0.023633358,NA,NA,NA,NA
"1978","Cercomacra nigricans","Cercomacra nigricans","Cercomacra nigricans","Thamnophilidae (Typical Antbirds)","Jet Antbird",0.557691465333333,NA,NA,NA,NA
"1979","Pyriglena leuconota","Pyriglena maura","Pyriglena leuconota","Thamnophilidae (Typical Antbirds)","Western Fire-eye",0.0699490245,NA,NA,NA,NA
"1980","Pyriglena leucoptera","Pyriglena leucoptera","Pyriglena leucoptera","Thamnophilidae (Typical Antbirds)","White-shouldered Fire-eye",0.851570028,NA,NA,NA,NA
"1981","Myrmoborus leucophrys","Myrmoborus leucophrys","Myrmoborus leucophrys","Thamnophilidae (Typical Antbirds)","White-browed Antbird",0.131735478,NA,NA,NA,NA
"1982","Myrmoborus myotherinus","Myrmoborus myotherinus","Myrmoborus myotherinus","Thamnophilidae (Typical Antbirds)","Black-faced Antbird",0.3271322175,NA,NA,NA,NA
"1983","Percnostola lophotes","Myrmoborus lophotes","Myrmoborus lophotes","Thamnophilidae (Typical Antbirds)","White-lined Antbird",0.023979139,NA,NA,NA,NA
"1984","Myrmeciza hyperythra","Myrmelastes hyperythrus","Myrmelastes hyperythrus","Thamnophilidae (Typical Antbirds)","Plumbeous Antbird",0.02177884,NA,NA,NA,NA
"1985","Myrmeciza longipes","Myrmeciza longipes","Myrmeciza longipes","Thamnophilidae (Typical Antbirds)","White-bellied Antbird",1.198170295,NA,NA,NA,NA
"1986","Myrmeciza exsul","Poliocrania exsul","Poliocrania exsul","Thamnophilidae (Typical Antbirds)","Chestnut-backed Antbird",0.308710633,NA,NA,NA,NA
"1987","Myrmeciza laemosticta","Sipia laemosticta","Sipia laemosticta","Thamnophilidae (Typical Antbirds)","Dull-mantled Antbird",0.097421658,NA,NA,NA,NA
"1988","Myrmeciza hemimelaena","Sciaphylax hemimelaena","Sciaphylax hemimelaena","Thamnophilidae (Typical Antbirds)","Chestnut-tailed Antbird",0.010774749,NA,NA,NA,NA
"1989","Myrmeciza squamosa","Myrmoderus squamosus","Myrmoderus squamosus","Thamnophilidae (Typical Antbirds)","Squamate Antbird",1.122267979,NA,NA,NA,NA
"1990","Myrmeciza melanoceps","Akletos melanoceps","Akletos melanoceps","Thamnophilidae (Typical Antbirds)","White-shouldered Antbird",0.05075458,NA,NA,NA,NA
"1991","Myrmeciza goeldii","Akletos goeldii","Akletos goeldii","Thamnophilidae (Typical Antbirds)","Goeldi's Antbird",0.023082473,NA,NA,NA,NA
"1992","Myrmeciza atrothorax","Myrmophylax atrothorax","Myrmophylax atrothorax","Thamnophilidae (Typical Antbirds)","Black-throated Antbird",0.028631302,NA,NA,NA,NA
"1993","Gymnopithys leucaspis","Gymnopithys bicolor","Gymnopithys bicolor","Thamnophilidae (Typical Antbirds)","Bicolored Antbird",0.268371003,NA,NA,NA,NA
"1994","Hylophylax naevioides","Hylophylax naevioides","Hylophylax naevioides","Thamnophilidae (Typical Antbirds)","Spotted Antbird",0.274770404,NA,NA,NA,NA
"1995","Phaenostictus mcleannani","Phaenostictus mcleannani","Phaenostictus mcleannani","Thamnophilidae (Typical Antbirds)","Ocellated Antbird",0.240183967,NA,NA,NA,NA
"1996","Melanopareia torquata","Melanopareia torquata","Melanopareia torquata","Melanopareiidae (Crescentchests)","Collared Crescentchest",0.999229399,NA,NA,NA,NA
"1997","Melanopareia maximiliani","Melanopareia maximiliani","Melanopareia maximiliani","Melanopareiidae (Crescentchests)","Olive-crowned Crescentchest",0.881970952,NA,NA,NA,NA
"1998","Melanopareia elegans","Melanopareia elegans","Melanopareia elegans","Melanopareiidae (Crescentchests)","Elegant Crescentchest",0.8463877585,NA,NA,NA,NA
"1999","Pittasoma michleri","Pittasoma michleri","Pittasoma michleri","Conopophagidae (Gnateaters)","Black-crowned Antpitta",0.08211944,NA,NA,NA,NA
"2000","Conopophaga melanops","Conopophaga melanops","Conopophaga melanops","Conopophagidae (Gnateaters)","Black-cheeked Gnateater",1.457308149,NA,NA,NA,NA
"2001","Conopophaga cearae","Conopophaga cearae","Conopophaga cearae","Conopophagidae (Gnateaters)","Ceara Gnateater",0.636484262,NA,NA,NA,NA
"2002","Conopophaga lineata","Conopophaga lineata","Conopophaga lineata","Conopophagidae (Gnateaters)","Rufous Gnateater",1.11928798,NA,NA,NA,NA
"2003","Grallaria squamigera","Grallaria squamigera","Grallaria squamigera","Grallariidae (Antpittas)","Undulated Antpitta",0.184813474,NA,NA,NA,NA
"2004","Grallaria varia","Grallaria varia","Grallaria varia","Grallariidae (Antpittas)","Variegated Antpitta",0.735110625,NA,NA,NA,NA
"2005","Grallaria guatimalensis","Grallaria guatimalensis","Grallaria guatimalensis","Grallariidae (Antpittas)","Scaled Antpitta",0.37370019,NA,NA,NA,NA
"2006","Grallaria haplonota","Grallaria haplonota","Grallaria haplonota","Grallariidae (Antpittas)","Plain-backed Antpitta",0.982693105,NA,NA,NA,NA
"2007","Grallaria ruficapilla","Grallaria ruficapilla","Grallaria ruficapilla","Grallariidae (Antpittas)","Chestnut-crowned Antpitta",0.7596006585,NA,NA,NA,NA
"2008","Grallaria andicolus","Grallaria andicolus","Grallaria andicolus","Grallariidae (Antpittas)","Stripe-headed Antpitta",0.080672957,NA,NA,NA,NA
"2009","Grallaria erythroleuca","Grallaria erythroleuca","Grallaria erythroleuca","Grallariidae (Antpittas)","Red-and-white Antpitta",0.004304139,NA,NA,NA,NA
"2010","Grallaria rufula","Grallaria rufula","Grallaria rufula","Grallariidae (Antpittas)","Muisca Antpitta",0.227771371,NA,NA,NA,NA
"2011","Grallaria rufula","Grallaria occabambae","Grallaria rufula","Grallariidae (Antpittas)","Urubamba Antpitta",0.008372867,NA,NA,NA,NA
"2012","Grallaria quitensis","Grallaria quitensis","Grallaria quitensis","Grallariidae (Antpittas)","Tawny Antpitta",0.0340061245,NA,NA,NA,NA
"2013","Hylopezus perspicillatus","Hylopezus perspicillatus","Hylopezus perspicillatus","Grallariidae (Antpittas)","Streak-chested Antpitta",0.21033467,NA,NA,NA,NA
"2014","Hylopezus berlepschi","Myrmothera berlepschi","Hylopezus berlepschi","Grallariidae (Antpittas)","Amazonian Antpitta",0.002269508,NA,NA,NA,NA
"2015","Grallaricula ferrugineipectus","Grallaricula ferrugineipectus","Grallaricula ferrugineipectus","Grallariidae (Antpittas)","Rusty-breasted Antpitta",2.15415263,NA,NA,NA,NA
"2016","Pteroptochos tarnii","Pteroptochos tarnii","Pteroptochos tarnii","Rhinocryptidae (Tapaculos)","Black-throated Huet-huet",0.112238295,NA,NA,NA,NA
"2017","Pteroptochos megapodius","Pteroptochos megapodius","Pteroptochos megapodius","Rhinocryptidae (Tapaculos)","Moustached Turca",0.588735933,NA,NA,NA,NA
"2018","Scelorchilus albicollis","Scelorchilus albicollis","Scelorchilus albicollis","Rhinocryptidae (Tapaculos)","White-throated Tapaculo",0.50934377,NA,NA,NA,NA
"2019","Scelorchilus rubecula","Scelorchilus rubecula","Scelorchilus rubecula","Rhinocryptidae (Tapaculos)","Chucao Tapaculo",0.514605892,NA,NA,NA,NA
"2020","Liosceles thoracicus","Liosceles thoracicus","Liosceles thoracicus","Rhinocryptidae (Tapaculos)","Rusty-belted Tapaculo",0.002677581,NA,NA,NA,NA
"2021","Rhinocrypta lanceolata","Rhinocrypta lanceolata","Rhinocrypta lanceolata","Rhinocryptidae (Tapaculos)","Crested Gallito",0.35202897,NA,NA,NA,NA
"2022","Eugralla paradoxa","Eugralla paradoxa","Eugralla paradoxa","Rhinocryptidae (Tapaculos)","Ochre-flanked Tapaculo",0.909251486,NA,NA,NA,NA
"2023","Eleoscytalopus indigoticus","Eleoscytalopus indigoticus","Eleoscytalopus indigoticus","Rhinocryptidae (Tapaculos)","White-breasted Tapaculo",0.67349963,NA,NA,NA,NA
"2024","Scytalopus fuscus","Scytalopus fuscus","Scytalopus fuscus","Rhinocryptidae (Tapaculos)","Dusky Tapaculo",1.090979212,NA,NA,NA,NA
"2025","Scytalopus magellanicus","Scytalopus magellanicus","Scytalopus magellanicus","Rhinocryptidae (Tapaculos)","Magellanic Tapaculo",0.7114773195,NA,NA,NA,NA
"2026","Scytalopus simonsi","Scytalopus simonsi","Scytalopus simonsi","Rhinocryptidae (Tapaculos)","Puna Tapaculo",0.046666745,NA,NA,NA,NA
"2027","Scytalopus parvirostris","Scytalopus parvirostris","Scytalopus parvirostris","Rhinocryptidae (Tapaculos)","Trilling Tapaculo",0.01214092,NA,NA,NA,NA
"2028","Scytalopus atratus","Scytalopus atratus","Scytalopus atratus","Rhinocryptidae (Tapaculos)","White-crowned Tapaculo",0,NA,NA,NA,NA
"2029","Scytalopus latrans","Scytalopus latrans","Scytalopus latrans","Rhinocryptidae (Tapaculos)","Blackish Tapaculo",0.049313554,NA,NA,NA,NA
"2030","Scytalopus caracae","Scytalopus caracae","Scytalopus caracae","Rhinocryptidae (Tapaculos)","Caracas Tapaculo",0.561435566,NA,NA,NA,NA
"2031","Scytalopus griseicollis","Scytalopus griseicollis","Scytalopus griseicollis","Rhinocryptidae (Tapaculos)","Pale-bellied Tapaculo",0.639270505,NA,NA,NA,NA
"2032","Formicarius colma","Formicarius colma","Formicarius colma","Formicariidae (Antthrushes)","Rufous-capped Antthrush",1.068455722,NA,NA,NA,NA
"2033","Formicarius analis","Formicarius analis","Formicarius analis","Formicariidae (Antthrushes)","Black-faced Antthrush",0.2358973125,NA,NA,NA,NA
"2034","Chamaeza campanisona","Chamaeza campanisona","Chamaeza campanisona","Formicariidae (Antthrushes)","Short-tailed Antthrush",0.754759475,NA,NA,NA,NA
"2035","Chamaeza turdina","Chamaeza turdina","Chamaeza turdina","Formicariidae (Antthrushes)","Schwartz's Antthrush",0.06434407,NA,NA,NA,NA
"2036","Sclerurus mexicanus","Sclerurus mexicanus","Sclerurus mexicanus","Furnariidae (Ovenbirds and Woodcreepers)","Middle American Leaftosser",0.024687503,NA,NA,NA,NA
"2037","Sclerurus guatemalensis","Sclerurus guatemalensis","Sclerurus guatemalensis","Furnariidae (Ovenbirds and Woodcreepers)","Scaly-throated Leaftosser",0.230014938,NA,NA,NA,NA
"2038","Sclerurus scansor","Sclerurus scansor","Sclerurus scansor","Furnariidae (Ovenbirds and Woodcreepers)","Rufous-breasted Leaftosser",1.3311666245,NA,NA,NA,NA
"2039","Geositta peruviana","Geositta peruviana","Geositta peruviana","Furnariidae (Ovenbirds and Woodcreepers)","Coastal Miner",0.4703962745,NA,NA,NA,NA
"2040","Geositta cunicularia","Geositta cunicularia","Geositta cunicularia","Furnariidae (Ovenbirds and Woodcreepers)","Common Miner",0.047713078,NA,NA,NA,NA
"2041","Geositta rufipennis","Geositta rufipennis","Geositta rufipennis","Furnariidae (Ovenbirds and Woodcreepers)","Rufous-banded Miner",0.493184451,NA,NA,NA,NA
"2042","Geositta isabellina","Geositta isabellina","Geositta isabellina","Furnariidae (Ovenbirds and Woodcreepers)","Creamy-rumped Miner",0.493412241,NA,NA,NA,NA
"2043","Sittasomus griseicapillus","Sittasomus griseicapillus","Sittasomus griseicapillus","Furnariidae (Ovenbirds and Woodcreepers)","Olivaceous Woodcreeper",0.9687099735,NA,NA,NA,NA
"2044","Dendrocincla fuliginosa","Dendrocincla fuliginosa","Dendrocincla fuliginosa","Furnariidae (Ovenbirds and Woodcreepers)","Plain-brown Woodcreeper",0.844963545,NA,NA,NA,NA
"2045","Dendrocincla turdina","Dendrocincla turdina","Dendrocincla turdina","Furnariidae (Ovenbirds and Woodcreepers)","Plain-winged Woodcreeper",1.04107334,NA,NA,NA,NA
"2046","Glyphorynchus spirurus","Glyphorynchus spirurus","Glyphorynchus spirurus","Furnariidae (Ovenbirds and Woodcreepers)","Wedge-billed Woodcreeper",0.4012565124,NA,NA,NA,NA
"2047","Nasica longirostris","Nasica longirostris","Nasica longirostris","Furnariidae (Ovenbirds and Woodcreepers)","Long-billed Woodcreeper",0.013970421,NA,NA,NA,NA
"2048","Dendrocolaptes sanctithomae","Dendrocolaptes sanctithomae","Dendrocolaptes sanctithomae","Furnariidae (Ovenbirds and Woodcreepers)","Northern Barred-Woodcreeper",0.405024448,NA,NA,NA,NA
"2049","Dendrocolaptes platyrostris","Dendrocolaptes platyrostris","Dendrocolaptes platyrostris","Furnariidae (Ovenbirds and Woodcreepers)","Planalto Woodcreeper",1.615891203,NA,NA,NA,NA
"2050","Xiphocolaptes promeropirhynchus","Xiphocolaptes promeropirhynchus","Xiphocolaptes promeropirhynchus","Furnariidae (Ovenbirds and Woodcreepers)","Strong-billed Woodcreeper",0.278825449,NA,NA,NA,NA
"2051","Xiphocolaptes albicollis","Xiphocolaptes albicollis","Xiphocolaptes albicollis","Furnariidae (Ovenbirds and Woodcreepers)","White-throated Woodcreeper",0.934820895,NA,NA,NA,NA
"2052","Xiphocolaptes major","Xiphocolaptes major","Xiphocolaptes major","Furnariidae (Ovenbirds and Woodcreepers)","Great Rufous Woodcreeper",0.657863191,NA,NA,NA,NA
"2053","Xiphorhynchus fuscus","Xiphorhynchus atlanticus","Xiphorhynchus atlanticus","Furnariidae (Ovenbirds and Woodcreepers)","Ceara Woodcreeper",0.573858653,NA,NA,NA,NA
"2054","Xiphorhynchus fuscus","Xiphorhynchus fuscus","Xiphorhynchus fuscus","Furnariidae (Ovenbirds and Woodcreepers)","Lesser Woodcreeper",1.121550833,NA,NA,NA,NA
"2055","Xiphorhynchus pardalotus","Xiphorhynchus pardalotus","Xiphorhynchus pardalotus","Furnariidae (Ovenbirds and Woodcreepers)","Chestnut-rumped Woodcreeper",1.514965191,NA,NA,NA,NA
"2056","Xiphorhynchus susurrans","Xiphorhynchus susurrans","Xiphorhynchus susurrans","Furnariidae (Ovenbirds and Woodcreepers)","Cocoa Woodcreeper",1.12158752433333,NA,NA,NA,NA
"2057","Xiphorhynchus guttatus","Xiphorhynchus guttatus","Xiphorhynchus guttatus","Furnariidae (Ovenbirds and Woodcreepers)","Buff-throated Woodcreeper",0.3758859622,NA,NA,NA,NA
"2058","Xiphorhynchus flavigaster","Xiphorhynchus flavigaster","Xiphorhynchus flavigaster","Furnariidae (Ovenbirds and Woodcreepers)","Ivory-billed Woodcreeper",0.2571917725,NA,NA,NA,NA
"2059","Xiphorhynchus lachrymosus","Xiphorhynchus lachrymosus","Xiphorhynchus lachrymosus","Furnariidae (Ovenbirds and Woodcreepers)","Black-striped Woodcreeper",0.32196284,NA,NA,NA,NA
"2060","Xiphorhynchus erythropygius","Xiphorhynchus erythropygius","Xiphorhynchus erythropygius","Furnariidae (Ovenbirds and Woodcreepers)","Spotted Woodcreeper",0.2366766505,NA,NA,NA,NA
"2061","Xiphorhynchus triangularis","Xiphorhynchus triangularis","Xiphorhynchus triangularis","Furnariidae (Ovenbirds and Woodcreepers)","Olive-backed Woodcreeper",0.5000705695,NA,NA,NA,NA
"2062","Dendroplex picus","Dendroplex picus","Dendroplex picus","Furnariidae (Ovenbirds and Woodcreepers)","Straight-billed Woodcreeper",1.452137979,NA,NA,NA,NA
"2063","Campylorhamphus trochilirostris","Campylorhamphus trochilirostris","Campylorhamphus trochilirostris","Furnariidae (Ovenbirds and Woodcreepers)","Red-billed Scythebill",0.701231315,NA,NA,NA,NA
"2064","Campylorhamphus pusillus","Campylorhamphus pusillus","Campylorhamphus pusillus","Furnariidae (Ovenbirds and Woodcreepers)","Brown-billed Scythebill",0.689263529,NA,NA,NA,NA
"2065","Drymornis bridgesii","Drymornis bridgesii","Drymornis bridgesii","Furnariidae (Ovenbirds and Woodcreepers)","Scimitar-billed Woodcreeper",1.528397868,NA,NA,NA,NA
"2066","Lepidocolaptes souleyetii","Lepidocolaptes souleyetii","Lepidocolaptes souleyetii","Furnariidae (Ovenbirds and Woodcreepers)","Streak-headed Woodcreeper",0.818178976666667,NA,NA,NA,NA
"2067","Lepidocolaptes angustirostris","Lepidocolaptes angustirostris","Lepidocolaptes angustirostris","Furnariidae (Ovenbirds and Woodcreepers)","Narrow-billed Woodcreeper",1.948434967125,NA,NA,NA,NA
"2068","Lepidocolaptes leucogaster","Lepidocolaptes leucogaster","Lepidocolaptes leucogaster","Furnariidae (Ovenbirds and Woodcreepers)","White-striped Woodcreeper",0.4957643575,NA,NA,NA,NA
"2069","Lepidocolaptes affinis","Lepidocolaptes affinis","Lepidocolaptes affinis","Furnariidae (Ovenbirds and Woodcreepers)","Spot-crowned Woodcreeper",0.403379063,NA,NA,NA,NA
"2070","Lepidocolaptes lacrymiger","Lepidocolaptes lacrymiger","Lepidocolaptes lacrymiger","Furnariidae (Ovenbirds and Woodcreepers)","Montane Woodcreeper",0.434774874333333,NA,NA,NA,NA
"2071","Lepidocolaptes albolineatus","Lepidocolaptes albolineatus","Lepidocolaptes albolineatus","Furnariidae (Ovenbirds and Woodcreepers)","Guianan Woodcreeper",2.103863498,NA,NA,NA,NA
"2072","Xenops minutus","Xenops minutus","Xenops minutus","Furnariidae (Ovenbirds and Woodcreepers)","Plain Xenops",0.89729516725,NA,NA,NA,NA
"2073","Xenops rutilans","Xenops rutilans","Xenops rutilus","Furnariidae (Ovenbirds and Woodcreepers)","Streaked Xenops",0.7852991258,NA,NA,NA,NA
"2074","Berlepschia rikeri","Berlepschia rikeri","Berlepschia rikeri","Furnariidae (Ovenbirds and Woodcreepers)","Point-tailed Palmcreeper",2.933736339,NA,NA,NA,NA
"2075","Pygarrhichas albogularis","Pygarrhichas albogularis","Pygarrhichas albogularis","Furnariidae (Ovenbirds and Woodcreepers)","White-throated Treerunner",0.22950768,NA,NA,NA,NA
"2076","Ochetorhynchus melanura","Ochetorhynchus melanurus","Ochetorhynchus melanurus","Furnariidae (Ovenbirds and Woodcreepers)","Crag Chilia",0.182003824,NA,NA,NA,NA
"2077","Pseudocolaptes boissonneautii","Pseudocolaptes boissonneautii","Pseudocolaptes boissonneauii","Furnariidae (Ovenbirds and Woodcreepers)","Streaked Tuftedcheek",0.005699678,NA,NA,NA,NA
"2078","Tarphonomus certhioides","Tarphonomus certhioides","Tarphonomus certhioides","Furnariidae (Ovenbirds and Woodcreepers)","Chaco Earthcreeper",0.3378927475,NA,NA,NA,NA
"2079","Furnarius figulus","Furnarius figulus","Furnarius figulus","Furnariidae (Ovenbirds and Woodcreepers)","Wing-banded Hornero",2.214818018,NA,NA,NA,NA
"2080","Furnarius leucopus","Furnarius leucopus","Furnarius leucopus","Furnariidae (Ovenbirds and Woodcreepers)","Pale-legged Hornero",0.825803111666667,NA,NA,NA,NA
"2081","Furnarius minor","Furnarius minor","Furnarius minor","Furnariidae (Ovenbirds and Woodcreepers)","Lesser Hornero",2.299888031,NA,NA,NA,NA
"2082","Furnarius rufus","Furnarius rufus","Furnarius rufus","Furnariidae (Ovenbirds and Woodcreepers)","Rufous Hornero",2.65831603235714,NA,NA,NA,NA
"2083","Furnarius cristatus","Furnarius cristatus","Furnarius cristatus","Furnariidae (Ovenbirds and Woodcreepers)","Crested Hornero",0.993282179,NA,NA,NA,NA
"2084","Lochmias nematura","Lochmias nematura","Lochmias nematura","Furnariidae (Ovenbirds and Woodcreepers)","Sharp-tailed Streamcreeper",1.314591775,NA,NA,NA,NA
"2085","Phleocryptes melanops","Phleocryptes melanops","Phleocryptes melanops","Furnariidae (Ovenbirds and Woodcreepers)","Wren-like Rushbird",1.3886432375,NA,NA,NA,NA
"2086","Limnornis curvirostris","Limnornis curvirostris","Limnornis curvirostris","Furnariidae (Ovenbirds and Woodcreepers)","Curve-billed Reedhaunter",2.278291759,NA,NA,NA,NA
