"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"54","Cyanochen cyanoptera","Cyanochen cyanoptera","Cyanochen cyanoptera","Anatidae (Ducks, Geese, and Waterfowl)","Blue-winged Goose",0.313648798,NA,NA,NA,NA
"55","Cygnus olor","Cygnus olor","Cygnus olor","Anatidae (Ducks, Geese, and Waterfowl)","Mute Swan",1.71795777548148,"Cygnus olor",3.131330644,"Cygnus olor","U"
"56","Cygnus atratus","Cygnus atratus","Cygnus atratus","Anatidae (Ducks, Geese, and Waterfowl)","Black Swan",1.19337313933333,NA,NA,"Cygnus atratus","U"
"57","Cygnus melancoryphus","Cygnus melancoryphus","Cygnus melancoryphus","Anatidae (Ducks, Geese, and Waterfowl)","Black-necked Swan",1.4538588945,NA,NA,NA,NA
"58","Cygnus buccinator","Cygnus buccinator","Cygnus buccinator","Anatidae (Ducks, Geese, and Waterfowl)","Trumpeter Swan",1.448204583375,"Cygnus buccinator",-0.937337458,"Cygnus buccinator","N"
"59","Cygnus columbianus","Cygnus columbianus","Cygnus columbianus","Anatidae (Ducks, Geese, and Waterfowl)","Tundra Swan",1.1330517548125,NA,NA,"Cygnus columbianus","N"
"60","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus","Anatidae (Ducks, Geese, and Waterfowl)","Whooper Swan",1.09058194811111,NA,NA,"Cygnus cygnus","N"
"61","Coscoroba coscoroba","Coscoroba coscoroba","Coscoroba coscoroba","Anatidae (Ducks, Geese, and Waterfowl)","Coscoroba Swan",1.167379347,NA,NA,NA,NA
"62","Sarkidiornis melanotos","Sarkidiornis melanotos","Sarkidiornis melanotos","Anatidae (Ducks, Geese, and Waterfowl)","Knob-billed Duck",1.32574469666667,NA,NA,NA,NA
"63","Sarkidiornis melanotos","Sarkidiornis sylvicola","Sarkidiornis sylvicola","Anatidae (Ducks, Geese, and Waterfowl)","Comb Duck",0.227253726,NA,NA,NA,NA
"64","Chloephaga melanoptera","Oressochen melanopterus","Chloephaga melanoptera","Anatidae (Ducks, Geese, and Waterfowl)","Andean Goose",0.246674384333333,NA,NA,NA,NA
"65","Chloephaga picta","Chloephaga picta","Chloephaga picta","Anatidae (Ducks, Geese, and Waterfowl)","Upland Goose",0.617243274,NA,NA,NA,NA
"66","Chloephaga hybrida","Chloephaga hybrida","Chloephaga hybrida","Anatidae (Ducks, Geese, and Waterfowl)","Kelp Goose",0.299246026,NA,NA,NA,NA
"67","Chloephaga poliocephala","Chloephaga poliocephala","Chloephaga poliocephala","Anatidae (Ducks, Geese, and Waterfowl)","Ashy-headed Goose",1.259010221,NA,NA,NA,NA
"68","Chloephaga rubidiceps","Chloephaga rubidiceps","Chloephaga rubidiceps","Anatidae (Ducks, Geese, and Waterfowl)","Ruddy-headed Goose",0.885944113,NA,NA,NA,NA
