"","Species_Jetz","Family_Jetz","Order_Jetz","CommonName","aveUAI","Species_eBird","Order_eBird","Species_BirdLife"
"97","Hieraaetus pennatus","Accipitridae","Accipitriformes","Booted Eagle",1.57871007790909,"Hieraaetus pennatus","Accipitriformes","Hieraaetus pennatus"
"98","Ichthyophaga ichthyaetus","Accipitridae","Accipitriformes","Gray-headed Fish-Eagle",1.7749207135,"Haliaeetus ichthyaetus","Accipitriformes","Icthyophaga ichthyaetus"
"99","Ictinaetus malayensis","Accipitridae","Accipitriformes","Black Eagle",0.6039694845,"Ictinaetus malaiensis","Accipitriformes","Ictinaetus malaiensis"
"100","Ictinia mississippiensis","Accipitridae","Accipitriformes","Mississippi Kite",2.189587003,"Ictinia mississippiensis","Accipitriformes","Ictinia mississippiensis"
"101","Ictinia plumbea","Accipitridae","Accipitriformes","Plumbeous Kite",0.525436587571429,"Ictinia plumbea","Accipitriformes","Ictinia plumbea"
"102","Kaupifalco monogrammicus","Accipitridae","Accipitriformes","Lizard Buzzard",0.97753818,"Kaupifalco monogrammicus","Accipitriformes","Kaupifalco monogrammicus"
"103","Leptodon cayanensis","Accipitridae","Accipitriformes","Gray-headed Kite",0.9695720455,"Leptodon cayanensis","Accipitriformes","Leptodon cayanensis"
"104","Leucopternis albicollis","Accipitridae","Accipitriformes","White Hawk",0.391167958,"Pseudastur albicollis","Accipitriformes","Pseudastur albicollis"
"105","Leucopternis occidentalis","Accipitridae","Accipitriformes","Gray-backed Hawk",0.870689572,"Pseudastur occidentalis","Accipitriformes","Pseudastur occidentalis"
"106","Leucopternis schistaceus","Accipitridae","Accipitriformes","Slate-colored Hawk",0.133639637,"Buteogallus schistaceus","Accipitriformes","Buteogallus schistaceus"
"107","Leucopternis semiplumbeus","Accipitridae","Accipitriformes","Semiplumbeous Hawk",0.227773183,"Leucopternis semiplumbeus","Accipitriformes","Leucopternis semiplumbeus"
"108","Lophaetus occipitalis","Accipitridae","Accipitriformes","Long-crested Eagle",0.985066816333333,"Lophaetus occipitalis","Accipitriformes","Lophaetus occipitalis"
"109","Lophoictinia isura","Accipitridae","Accipitriformes","Square-tailed Kite",0.906312185333333,"Lophoictinia isura","Accipitriformes","Lophoictinia isura"
"110","Milvus migrans","Accipitridae","Accipitriformes","Black Kite",1.64687006094595,"Milvus migrans","Accipitriformes","Milvus migrans"
"111","Milvus milvus","Accipitridae","Accipitriformes","Red Kite",0.71970574725,"Milvus milvus","Accipitriformes","Milvus milvus"
"112","Necrosyrtes monachus","Accipitridae","Accipitriformes","Hooded Vulture",1.50679358825,"Necrosyrtes monachus","Accipitriformes","Necrosyrtes monachus"
