"","Species_Jetz","Family_Jetz","Order_Jetz","CommonName","aveUAI","Species_eBird","Order_eBird","Species_BirdLife"
"2387","Cyornis tickelliae","Muscicapidae","Passeriformes","Tickell's Blue Flycatcher",1.281589885,"Cyornis tickelliae","Passeriformes","Cyornis tickelliae"
"2388","Dioptrornis chocolatinus","Muscicapidae","Passeriformes","Abyssinian Slaty-Flycatcher",2.399992154,"Melaenornis chocolatinus","Passeriformes","Melaenornis chocolatinus"
"2389","Dioptrornis fischeri","Muscicapidae","Passeriformes","White-eyed Slaty-Flycatcher",1.577553995,"Melaenornis fischeri","Passeriformes","Melaenornis fischeri"
"2390","Enicurus immaculatus","Muscicapidae","Passeriformes","Black-backed Forktail",0.302989265,"Enicurus immaculatus","Passeriformes","Enicurus immaculatus"
"2391","Enicurus leschenaulti","Muscicapidae","Passeriformes","White-crowned Forktail",0.360187575,"Enicurus leschenaulti","Passeriformes","Enicurus leschenaulti"
"2392","Enicurus scouleri","Muscicapidae","Passeriformes","Little Forktail",0.133613897,"Enicurus scouleri","Passeriformes","Enicurus scouleri"
"2393","Erithacus komadori","Muscicapidae","Passeriformes","Ryukyu Robin",0.209873551,"Larvivora komadori","Passeriformes","Larvivora komadori"
"2394","Erithacus rubecula","Muscicapidae","Passeriformes","European Robin",1.99613100536,"Erithacus rubecula","Passeriformes","Erithacus rubecula"
"2395","Erythropygia coryphaeus","Muscicapidae","Passeriformes","Karoo Scrub-Robin",0.488238414,"Cercotrichas coryphoeus","Passeriformes","Tychaedon coryphoeus"
"2396","Erythropygia leucophrys","Muscicapidae","Passeriformes","Red-backed Scrub-Robin",0.635971409666667,"Cercotrichas leucophrys","Passeriformes","Cercotrichas leucophrys"
"2397","Erythropygia quadrivirgata","Muscicapidae","Passeriformes","Bearded Scrub-Robin",0.398964579,"Cercotrichas quadrivirgata","Passeriformes","Tychaedon quadrivirgata"
"2398","Eumyias indigo","Muscicapidae","Passeriformes","Indigo Flycatcher",0.375725543,"Eumyias indigo","Passeriformes","Eumyias indigo"
"2399","Eumyias thalassinus","Muscicapidae","Passeriformes","Verditer Flycatcher",1.7147730075,"Eumyias thalassinus","Passeriformes","Eumyias thalassinus"
"2400","Ficedula albicilla","Muscicapidae","Passeriformes","Taiga Flycatcher",2.16238914675,"Ficedula albicilla","Passeriformes","Ficedula albicilla"
"2401","Ficedula albicollis","Muscicapidae","Passeriformes","Collared Flycatcher",2.287975756,"Ficedula albicollis","Passeriformes","Ficedula albicollis"
"2402","Ficedula hyperythra","Muscicapidae","Passeriformes","Snowy-browed Flycatcher",0.215515246,"Ficedula hyperythra","Passeriformes","Ficedula hyperythra"
"2403","Ficedula hypoleuca","Muscicapidae","Passeriformes","European Pied Flycatcher",2.35282746016667,"Ficedula hypoleuca","Passeriformes","Ficedula hypoleuca"
"2404","Ficedula mugimaki","Muscicapidae","Passeriformes","Mugimaki Flycatcher",2.4040935188,"Ficedula mugimaki","Passeriformes","Ficedula mugimaki"
"2405","Ficedula narcissina","Muscicapidae","Passeriformes","Green-backed Flycatcher",2.783648264,"Ficedula elisae","Passeriformes","Ficedula elisae"
"2406","Ficedula narcissina","Muscicapidae","Passeriformes","Narcissus Flycatcher",2.11566297833333,"Ficedula narcissina","Passeriformes","Ficedula narcissina"
"2407","Ficedula parva","Muscicapidae","Passeriformes","Red-breasted Flycatcher",2.278824414625,"Ficedula parva","Passeriformes","Ficedula parva"
"2408","Ficedula westermanni","Muscicapidae","Passeriformes","Little Pied Flycatcher",0.3439617715,"Ficedula westermanni","Passeriformes","Ficedula westermanni"
"2409","Ficedula zanthopygia","Muscicapidae","Passeriformes","Yellow-rumped Flycatcher",2.79548642225,"Ficedula zanthopygia","Passeriformes","Ficedula zanthopygia"
"2410","Luscinia brunnea","Muscicapidae","Passeriformes","Indian Blue Robin",1.368546203,"Larvivora brunnea","Passeriformes","Larvivora brunnea"
"2411","Luscinia calliope","Muscicapidae","Passeriformes","Siberian Rubythroat",2.079253887,"Calliope calliope","Passeriformes","Calliope calliope"
"2412","Luscinia cyane","Muscicapidae","Passeriformes","Siberian Blue Robin",2.794194295,"Larvivora cyane","Passeriformes","Larvivora cyane"
"2413","Luscinia luscinia","Muscicapidae","Passeriformes","Thrush Nightingale",2.357576779,"Luscinia luscinia","Passeriformes","Luscinia luscinia"
"2414","Luscinia megarhynchos","Muscicapidae","Passeriformes","Common Nightingale",1.42373792992308,"Luscinia megarhynchos","Passeriformes","Luscinia megarhynchos"
"2415","Luscinia sibilans","Muscicapidae","Passeriformes","Rufous-tailed Robin",2.687568428,"Larvivora sibilans","Passeriformes","Larvivora sibilans"
"2416","Luscinia svecica","Muscicapidae","Passeriformes","Bluethroat",1.81650583707692,"Luscinia svecica","Passeriformes","Cyanecula svecica"
"2417","Melaenornis edolioides","Muscicapidae","Passeriformes","Northern Black-Flycatcher",1.083724783,"Melaenornis edolioides","Passeriformes","Melaenornis edolioides"
"2418","Melaenornis pammelaina","Muscicapidae","Passeriformes","Southern Black-Flycatcher",1.2719193055,"Melaenornis pammelaina","Passeriformes","Melaenornis pammelaina"
"2419","Monticola cinclorhynchus","Muscicapidae","Passeriformes","Blue-capped Rock-Thrush",1.64692919,"Monticola cinclorhyncha","Passeriformes","Monticola cinclorhyncha"
"2420","Monticola rupestris","Muscicapidae","Passeriformes","Cape Rock-Thrush",0.177002194,"Monticola rupestris","Passeriformes","Monticola rupestris"
"2421","Monticola solitarius","Muscicapidae","Passeriformes","Blue Rock-Thrush",1.71089025645455,"Monticola solitarius","Passeriformes","Monticola solitarius"
"2422","Muscicapa adusta","Muscicapidae","Passeriformes","African Dusky Flycatcher",1.58649781375,"Muscicapa adusta","Passeriformes","Muscicapa adusta"
"2423","Muscicapa aquatica","Muscicapidae","Passeriformes","Swamp Flycatcher",0.541542126,"Muscicapa aquatica","Passeriformes","Muscicapa aquatica"
"2424","Muscicapa caerulescens","Muscicapidae","Passeriformes","Ashy Flycatcher",0.635206744,"Fraseria caerulescens","Passeriformes","Fraseria caerulescens"
"2425","Muscicapa dauurica","Muscicapidae","Passeriformes","Asian Brown Flycatcher",2.23580524063636,"Muscicapa dauurica","Passeriformes","Muscicapa dauurica"
"2426","Muscicapa ferruginea","Muscicapidae","Passeriformes","Ferruginous Flycatcher",0.151617192,"Muscicapa ferruginea","Passeriformes","Muscicapa ferruginea"
"2427","Muscicapa griseisticta","Muscicapidae","Passeriformes","Gray-streaked Flycatcher",1.47203201775,"Muscicapa griseisticta","Passeriformes","Muscicapa griseisticta"
"2428","Muscicapa muttui","Muscicapidae","Passeriformes","Brown-breasted Flycatcher",1.428143599,"Muscicapa muttui","Passeriformes","Muscicapa muttui"
"2429","Muscicapa sibirica","Muscicapidae","Passeriformes","Dark-sided Flycatcher",2.538205857,"Muscicapa sibirica","Passeriformes","Muscicapa sibirica"
"2430","Muscicapa striata","Muscicapidae","Passeriformes","Spotted Flycatcher",1.83520826184,"Muscicapa striata","Passeriformes","Muscicapa striata"
"2431","Myrmecocichla aethiops","Muscicapidae","Passeriformes","Northern Anteater-Chat",0.551843023,"Myrmecocichla aethiops","Passeriformes","Myrmecocichla aethiops"
"2432","Myrmecocichla nigra","Muscicapidae","Passeriformes","Sooty Chat",0.102351246,"Myrmecocichla nigra","Passeriformes","Myrmecocichla nigra"
"2433","Niltava macgrigoriae","Muscicapidae","Passeriformes","Small Niltava",0.400484466,"Niltava macgrigoriae","Passeriformes","Niltava macgrigoriae"
"2434","Oenanthe albonigra","Muscicapidae","Passeriformes","Hume's Wheatear",1.87586684,"Oenanthe albonigra","Passeriformes","Oenanthe albonigra"
"2435","Oenanthe chrysopygia","Muscicapidae","Passeriformes","Persian Wheatear",2.18219282,"Oenanthe chrysopygia","Passeriformes","Oenanthe chrysopygia"
"2436","Oenanthe deserti","Muscicapidae","Passeriformes","Desert Wheatear",1.68600024366667,"Oenanthe deserti","Passeriformes","Oenanthe deserti"
"2437","Oenanthe hispanica","Muscicapidae","Passeriformes","Eastern Black-eared Wheatear",1.0408646795,"Oenanthe melanoleuca","Passeriformes","Oenanthe hispanica"
"2438","Oenanthe hispanica","Muscicapidae","Passeriformes","Western Black-eared Wheatear",0.338994543,"Oenanthe hispanica","Passeriformes","Oenanthe hispanica"
"2439","Oenanthe isabellina","Muscicapidae","Passeriformes","Isabelline Wheatear",1.3938253242,"Oenanthe isabellina","Passeriformes","Oenanthe isabellina"
"2440","Oenanthe leucura","Muscicapidae","Passeriformes","Black Wheatear",1.325507453,"Oenanthe leucura","Passeriformes","Oenanthe leucura"
"2441","Oenanthe lugentoides","Muscicapidae","Passeriformes","Arabian Wheatear",0.936016013,"Oenanthe lugentoides","Passeriformes","Oenanthe lugens"
"2442","Oenanthe monticola","Muscicapidae","Passeriformes","Mountain Wheatear",2.45947007,"Myrmecocichla monticola","Passeriformes","Myrmecocichla monticola"
"2443","Oenanthe oenanthe","Muscicapidae","Passeriformes","Northern Wheatear",1.17980104570588,"Oenanthe oenanthe","Passeriformes","Oenanthe oenanthe"
"2444","Oenanthe pileata","Muscicapidae","Passeriformes","Capped Wheatear",0.4442389375,"Oenanthe pileata","Passeriformes","Oenanthe pileata"
"2445","Oenanthe pleschanka","Muscicapidae","Passeriformes","Pied Wheatear",2.143393345,"Oenanthe pleschanka","Passeriformes","Oenanthe pleschanka"
"2446","Phoenicurus auroreus","Muscicapidae","Passeriformes","Daurian Redstart",2.393857927,"Phoenicurus auroreus","Passeriformes","Phoenicurus auroreus"
"2447","Phoenicurus ochruros","Muscicapidae","Passeriformes","Black Redstart",1.99773679759091,"Phoenicurus ochruros","Passeriformes","Phoenicurus ochruros"
"2448","Phoenicurus phoenicurus","Muscicapidae","Passeriformes","Common Redstart",1.86080522429412,"Phoenicurus phoenicurus","Passeriformes","Phoenicurus phoenicurus"
"2449","Pogonocichla stellata","Muscicapidae","Passeriformes","White-starred Robin",0.865784138,"Pogonocichla stellata","Passeriformes","Pogonocichla stellata"
"2450","Rhinomyias brunneatus","Muscicapidae","Passeriformes","Brown-chested Jungle Flycatcher",3.583735547,"Cyornis brunneatus","Passeriformes","Cyornis brunneatus"
"2451","Rhinomyias gularis","Muscicapidae","Passeriformes","Eyebrowed Jungle Flycatcher",0.403772188,"Vauriella gularis","Passeriformes","Vauriella gularis"
"2452","Rhyacornis fuliginosa","Muscicapidae","Passeriformes","Plumbeous Redstart",0.834095903,"Phoenicurus fuliginosus","Passeriformes","Phoenicurus fuliginosus"
"2453","Saxicola caprata","Muscicapidae","Passeriformes","Pied Bushchat",1.21416174916667,"Saxicola caprata","Passeriformes","Saxicola caprata"
"2454","Saxicola leucurus","Muscicapidae","Passeriformes","White-tailed Stonechat",2.575887097,"Saxicola leucurus","Passeriformes","Saxicola leucurus"
"2455","Saxicola rubetra","Muscicapidae","Passeriformes","Whinchat",1.221671545,"Saxicola rubetra","Passeriformes","Saxicola rubetra"
"2456","Saxicola torquatus","Muscicapidae","Passeriformes","African Stonechat",0.8021679544,"Saxicola torquatus","Passeriformes","Saxicola torquatus"
"2457","Saxicola torquatus","Muscicapidae","Passeriformes","Amur Stonechat",1.8754392635,"Saxicola stejnegeri","Passeriformes","Saxicola torquatus"
"2458","Saxicola torquatus","Muscicapidae","Passeriformes","European Stonechat",1.06986978882353,"Saxicola rubicola","Passeriformes","Saxicola torquatus"
"2459","Saxicola torquatus","Muscicapidae","Passeriformes","Siberian Stonechat",1.161884839,"Saxicola maurus","Passeriformes","Saxicola torquatus"
"2460","Saxicoloides fulicatus","Muscicapidae","Passeriformes","Indian Robin",1.595426789,"Copsychus fulicatus","Passeriformes","Saxicoloides fulicatus"
"2461","Sigelus silens","Muscicapidae","Passeriformes","Fiscal Flycatcher",1.950255396,"Melaenornis silens","Passeriformes","Melaenornis silens"
"2462","Tarsiger cyanurus","Muscicapidae","Passeriformes","Red-flanked Bluetail",2.30282865933333,"Tarsiger cyanurus","Passeriformes","Tarsiger cyanurus"
"2463","Tarsiger indicus","Muscicapidae","Passeriformes","White-browed Bush-Robin",0.015843055,"Tarsiger indicus","Passeriformes","Tarsiger indicus"
"2464","Tarsiger johnstoniae","Muscicapidae","Passeriformes","Collared Bush-Robin",0.027170618,"Tarsiger johnstoniae","Passeriformes","Tarsiger johnstoniae"
"2465","Aethopyga christinae","Nectariniidae","Passeriformes","Fork-tailed Sunbird",2.204251688,"Aethopyga christinae","Passeriformes","Aethopyga christinae"
"2466","Aethopyga flagrans","Nectariniidae","Passeriformes","Flaming Sunbird",0.259679965,"Aethopyga flagrans","Passeriformes","Aethopyga flagrans"
"2467","Aethopyga mystacalis","Nectariniidae","Passeriformes","Temminck's Sunbird",0.303972509,"Aethopyga temminckii","Passeriformes","Aethopyga temminckii"
"2468","Aethopyga shelleyi","Nectariniidae","Passeriformes","Lovely Sunbird",0.102586666,"Aethopyga shelleyi","Passeriformes","Aethopyga shelleyi"
"2469","Aethopyga siparaja","Nectariniidae","Passeriformes","Crimson Sunbird",1.65358893333333,"Aethopyga siparaja","Passeriformes","Aethopyga siparaja"
"2470","Aethopyga siparaja","Nectariniidae","Passeriformes","Vigors's Sunbird",1.593072085,"Aethopyga vigorsii","Passeriformes","Aethopyga vigorsii"
"2471","Anthreptes collaris","Nectariniidae","Passeriformes","Collared Sunbird",1.163761066,"Hedydipna collaris","Passeriformes","Hedydipna collaris"
"2472","Anthreptes malacensis","Nectariniidae","Passeriformes","Brown-throated Sunbird",2.2424121534,"Anthreptes malacensis","Passeriformes","Anthreptes malacensis"
"2473","Arachnothera everetti","Nectariniidae","Passeriformes","Bornean Spiderhunter",0.042710826,"Arachnothera everetti","Passeriformes","Arachnothera affinis"
"2474","Arachnothera longirostra","Nectariniidae","Passeriformes","Little Spiderhunter",1.440466664,"Arachnothera longirostra","Passeriformes","Arachnothera longirostra"
"2475","Arachnothera longirostra","Nectariniidae","Passeriformes","Pale Spiderhunter",0.198072493,"Arachnothera dilutior","Passeriformes","Arachnothera dilutior"
"2476","Nectarinia afra","Nectariniidae","Passeriformes","Greater Double-collared Sunbird",2.072331835,"Cinnyris afer","Passeriformes","Cinnyris afer"
"2477","Nectarinia amethystina","Nectariniidae","Passeriformes","Amethyst Sunbird",1.6104193264,"Chalcomitra amethystina","Passeriformes","Chalcomitra amethystina"
"2478","Nectarinia asiatica","Nectariniidae","Passeriformes","Purple Sunbird",2.10034473088889,"Cinnyris asiaticus","Passeriformes","Cinnyris asiaticus"
"2479","Nectarinia calcostetha","Nectariniidae","Passeriformes","Copper-throated Sunbird",1.981794508,"Leptocoma calcostetha","Passeriformes","Leptocoma calcostetha"
"2480","Nectarinia chalybea","Nectariniidae","Passeriformes","Southern Double-collared Sunbird",1.3102029275,"Cinnyris chalybeus","Passeriformes","Cinnyris chalybeus"
"2481","Nectarinia chloropygia","Nectariniidae","Passeriformes","Olive-bellied Sunbird",0.802812917,"Cinnyris chloropygius","Passeriformes","Cinnyris chloropygius"
"2482","Nectarinia cuprea","Nectariniidae","Passeriformes","Copper Sunbird",0.286505595,"Cinnyris cupreus","Passeriformes","Cinnyris cupreus"
"2483","Nectarinia erythrocerca","Nectariniidae","Passeriformes","Red-chested Sunbird",0.93378544,"Cinnyris erythrocercus","Passeriformes","Cinnyris erythrocercus"
"2484","Nectarinia famosa","Nectariniidae","Passeriformes","Malachite Sunbird",1.073797769,"Nectarinia famosa","Passeriformes","Nectarinia famosa"
"2485","Nectarinia habessinica","Nectariniidae","Passeriformes","Shining Sunbird",1.709766567,"Cinnyris habessinicus","Passeriformes","Cinnyris habessinicus"
"2486","Nectarinia jugularis","Nectariniidae","Passeriformes","Olive-backed Sunbird",1.91272564975,"Cinnyris jugularis","Passeriformes","Cinnyris jugularis"
"2487","Nectarinia kilimensis","Nectariniidae","Passeriformes","Bronze Sunbird",1.758604402,"Nectarinia kilimensis","Passeriformes","Nectarinia kilimensis"
"2488","Nectarinia lotenia","Nectariniidae","Passeriformes","Loten's Sunbird",1.608828563,"Cinnyris lotenius","Passeriformes","Cinnyris lotenius"
"2489","Nectarinia mariquensis","Nectariniidae","Passeriformes","Mariqua Sunbird",1.236494098,"Cinnyris mariquensis","Passeriformes","Cinnyris mariquensis"
"2490","Nectarinia mediocris","Nectariniidae","Passeriformes","Eastern Double-collared Sunbird",0.375830693,"Cinnyris mediocris","Passeriformes","Cinnyris mediocris"
"2491","Nectarinia minima","Nectariniidae","Passeriformes","Crimson-backed Sunbird",0.3914612495,"Leptocoma minima","Passeriformes","Leptocoma minima"
"2492","Nectarinia notata","Nectariniidae","Passeriformes","Malagasy Sunbird",0.890472793,"Cinnyris notatus","Passeriformes","Cinnyris notatus"
"2493","Nectarinia olivacea","Nectariniidae","Passeriformes","Olive Sunbird",1.521957486,"Cyanomitra olivacea","Passeriformes","Cyanomitra olivacea"
"2494","Nectarinia osea","Nectariniidae","Passeriformes","Palestine Sunbird",1.6234892305,"Cinnyris osea","Passeriformes","Cinnyris osea"
"2495","Nectarinia preussi","Nectariniidae","Passeriformes","Northern Double-collared Sunbird",1.553636408,"Cinnyris reichenowi","Passeriformes","Cinnyris reichenowi"
"2496","Nectarinia pulchella","Nectariniidae","Passeriformes","Beautiful Sunbird",1.141372987,"Cinnyris pulchellus","Passeriformes","Cinnyris pulchellus"
"2497","Nectarinia reichenowi","Nectariniidae","Passeriformes","Golden-winged Sunbird",0.702121378,"Drepanorhynchus reichenowi","Passeriformes","Drepanorhynchus reichenowi"
"2498","Nectarinia senegalensis","Nectariniidae","Passeriformes","Scarlet-chested Sunbird",1.01406984633333,"Chalcomitra senegalensis","Passeriformes","Chalcomitra senegalensis"
"2499","Nectarinia sovimanga","Nectariniidae","Passeriformes","Souimanga Sunbird",0.598232119,"Cinnyris sovimanga","Passeriformes","Cinnyris sovimanga"
"2500","Nectarinia sperata","Nectariniidae","Passeriformes","Van Hasselt's Sunbird",2.666755151,"Leptocoma brasiliana","Passeriformes","Leptocoma brasiliana"
"2501","Nectarinia sperata","Nectariniidae","Passeriformes","Purple-throated Sunbird",0.456200779,"Leptocoma sperata","Passeriformes","Leptocoma sperata"
"2502","Nectarinia tacazze","Nectariniidae","Passeriformes","Tacazze Sunbird",2.402251734,"Nectarinia tacazze","Passeriformes","Nectarinia tacazze"
"2503","Nectarinia talatala","Nectariniidae","Passeriformes","White-breasted Sunbird",1.76831050666667,"Cinnyris talatala","Passeriformes","Cinnyris talatala"
"2504","Nectarinia venusta","Nectariniidae","Passeriformes","Variable Sunbird",1.712272363,"Cinnyris venustus","Passeriformes","Cinnyris venustus"
"2505","Nectarinia veroxii","Nectariniidae","Passeriformes","Mouse-colored Sunbird",1.417328331,"Cyanomitra veroxii","Passeriformes","Cyanomitra verreauxii"
"2506","Nectarinia verticalis","Nectariniidae","Passeriformes","Green-headed Sunbird",1.1600396505,"Cyanomitra verticalis","Passeriformes","Cyanomitra verticalis"
"2507","Nectarinia violacea","Nectariniidae","Passeriformes","Orange-breasted Sunbird",0.815844028,"Anthobaphes violacea","Passeriformes","Anthobaphes violacea"
"2508","Nectarinia zeylonica","Nectariniidae","Passeriformes","Purple-rumped Sunbird",2.1026946725,"Leptocoma zeylonica","Passeriformes","Leptocoma zeylonica"
"2509","Daphoenositta chrysoptera","Neosittidae","Passeriformes","Varied Sittella",0.3749941222,"Daphoenositta chrysoptera","Passeriformes","Daphoenositta chrysoptera"
"2510","Oriolus auratus","Oriolidae","Passeriformes","African Golden Oriole",0.7444267,"Oriolus auratus","Passeriformes","Oriolus auratus"
"2511","Oriolus chinensis","Oriolidae","Passeriformes","Black-naped Oriole",2.093801758,"Oriolus chinensis","Passeriformes","Oriolus chinensis"
"2512","Oriolus cruentus","Oriolidae","Passeriformes","Black-and-crimson Oriole",0.173788918,"Oriolus cruentus","Passeriformes","Oriolus cruentus"
"2513","Oriolus flavocinctus","Oriolidae","Passeriformes","Green Oriole",1.80078159,"Oriolus flavocinctus","Passeriformes","Oriolus flavocinctus"
"2514","Oriolus larvatus","Oriolidae","Passeriformes","African Black-headed Oriole",1.1091078285,"Oriolus larvatus","Passeriformes","Oriolus larvatus"
"2515","Oriolus oriolus","Oriolidae","Passeriformes","Eurasian Golden Oriole",1.11843727278571,"Oriolus oriolus","Passeriformes","Oriolus oriolus"
"2516","Oriolus oriolus","Oriolidae","Passeriformes","Indian Golden Oriole",1.9290245665,"Oriolus kundoo","Passeriformes","Oriolus kundoo"
"2517","Oriolus sagittatus","Oriolidae","Passeriformes","Olive-backed Oriole",1.2455655986,"Oriolus sagittatus","Passeriformes","Oriolus sagittatus"
"2518","Oriolus traillii","Oriolidae","Passeriformes","Maroon Oriole",1.164905807,"Oriolus traillii","Passeriformes","Oriolus traillii"
"2519","Oriolus xanthornus","Oriolidae","Passeriformes","Black-hooded Oriole",0.947540821166667,"Oriolus xanthornus","Passeriformes","Oriolus xanthornus"
"2520","Sphecotheres vieilloti","Oriolidae","Passeriformes","Australasian Figbird",1.85008462875,"Sphecotheres vieilloti","Passeriformes","Sphecotheres vieilloti"
"2521","Orthonyx spaldingii","Orthonychidae","Passeriformes","Chowchilla",0,"Orthonyx spaldingii","Passeriformes","Orthonyx spaldingii"
"2522","Orthonyx temminckii","Orthonychidae","Passeriformes","Australian Logrunner",0.238105112,"Orthonyx temminckii","Passeriformes","Orthonyx temminckii"
"2523","Pachycephala grisola","Pachycephalidae","Passeriformes","Mangrove Whistler",0.371219516,"Pachycephala cinerea","Passeriformes","Pachycephala cinerea"
"2524","Pachycephala hypoxantha","Pachycephalidae","Passeriformes","Bornean Whistler",0.359321435,"Pachycephala hypoxantha","Passeriformes","Pachycephala hypoxantha"
"2525","Pachycephala melanura","Pachycephalidae","Passeriformes","Black-tailed Whistler",0.617291311,"Pachycephala melanura","Passeriformes","Pachycephala melanura"
"2526","Pachycephala olivacea","Pachycephalidae","Passeriformes","Olive Whistler",0.1772090295,"Pachycephala olivacea","Passeriformes","Pachycephala olivacea"
"2527","Pachycephala pectoralis","Pachycephalidae","Passeriformes","Golden Whistler",0.6826816608,"Pachycephala pectoralis","Passeriformes","Pachycephala pectoralis"
"2528","Pachycephala rufiventris","Pachycephalidae","Passeriformes","Rufous Whistler",0.833220677428571,"Pachycephala rufiventris","Passeriformes","Pachycephala rufiventris"
"2529","Pachycephala simplex","Pachycephalidae","Passeriformes","Gray Whistler",0.730034173,"Pachycephala simplex","Passeriformes","Pachycephala simplex"
"2530","Ptiloris paradiseus","Paradisaeidae","Passeriformes","Paradise Riflebird",0.021368888,"Ptiloris paradiseus","Passeriformes","Lophorina paradisea"
"2531","Ptiloris victoriae","Paradisaeidae","Passeriformes","Victoria's Riflebird",0,"Ptiloris victoriae","Passeriformes","Lophorina victoriae"
"2532","Pardalotus punctatus","Pardalotidae","Passeriformes","Spotted Pardalote",0.939954902333333,"Pardalotus punctatus","Passeriformes","Pardalotus punctatus"
"2533","Pardalotus quadragintus","Pardalotidae","Passeriformes","Forty-spotted Pardalote",0.042126171,"Pardalotus quadragintus","Passeriformes","Pardalotus quadragintus"
"2534","Pardalotus striatus","Pardalotidae","Passeriformes","Striated Pardalote",1.043346046,"Pardalotus striatus","Passeriformes","Pardalotus striatus"
"2535","Baeolophus atricristatus","Paridae","Passeriformes","Black-crested Titmouse",1.1106628275,"Baeolophus atricristatus","Passeriformes","Baeolophus atricristatus"
"2536","Baeolophus bicolor","Paridae","Passeriformes","Tufted Titmouse",1.69474293136364,"Baeolophus bicolor","Passeriformes","Baeolophus bicolor"
"2537","Baeolophus inornatus","Paridae","Passeriformes","Oak Titmouse",1.820381763,"Baeolophus inornatus","Passeriformes","Baeolophus inornatus"
"2538","Baeolophus ridgwayi","Paridae","Passeriformes","Juniper Titmouse",0.553973929,"Baeolophus ridgwayi","Passeriformes","Baeolophus ridgwayi"
"2539","Baeolophus wollweberi","Paridae","Passeriformes","Bridled Titmouse",0.064567521,"Baeolophus wollweberi","Passeriformes","Baeolophus wollweberi"
"2540","Melanochlora sultanea","Paridae","Passeriformes","Sultan Tit",0.324698433,"Melanochlora sultanea","Passeriformes","Melanochlora sultanea"
"2541","Parus albiventris","Paridae","Passeriformes","White-bellied Tit",1.67433486,"Melaniparus albiventris","Passeriformes","Melaniparus albiventris"
"2542","Parus amabilis","Paridae","Passeriformes","Palawan Tit",0.070603634,"Periparus amabilis","Passeriformes","Pardaliparus amabilis"
"2543","Parus ater","Paridae","Passeriformes","Coal Tit",1.89965634427273,"Periparus ater","Passeriformes","Periparus ater"
"2544","Parus atricapillus","Paridae","Passeriformes","Black-capped Chickadee",2.2232884162,"Poecile atricapillus","Passeriformes","Poecile atricapillus"
"2545","Parus caeruleus","Paridae","Passeriformes","Eurasian Blue Tit",2.0391843227619,"Cyanistes caeruleus","Passeriformes","Cyanistes caeruleus"
"2546","Parus carolinensis","Paridae","Passeriformes","Carolina Chickadee",1.72862467725,"Poecile carolinensis","Passeriformes","Poecile carolinensis"
"2547","Parus cristatus","Paridae","Passeriformes","Crested Tit",1.388525861625,"Lophophanes cristatus","Passeriformes","Lophophanes cristatus"
"2548","Parus elegans","Paridae","Passeriformes","Elegant Tit",0.769708223,"Periparus elegans","Passeriformes","Pardaliparus elegans"
"2549","Parus gambeli","Paridae","Passeriformes","Mountain Chickadee",1.01601600171429,"Poecile gambeli","Passeriformes","Poecile gambeli"
"2550","Parus holsti","Paridae","Passeriformes","Taiwan Yellow Tit",0.135321634,"Machlolophus holsti","Passeriformes","Machlolophus holsti"
"2551","Parus hudsonicus","Paridae","Passeriformes","Boreal Chickadee",1.17500537125,"Poecile hudsonicus","Passeriformes","Poecile hudsonicus"
"2552","Parus lugubris","Paridae","Passeriformes","Sombre Tit",0.708995591666667,"Poecile lugubris","Passeriformes","Poecile lugubris"
"2553","Parus major","Paridae","Passeriformes","Cinereous Tit",1.16160271744444,"Parus cinereus","Passeriformes","Parus major"
"2554","Parus major","Paridae","Passeriformes","Great Tit",2.08494766529167,"Parus major","Passeriformes","Parus major"
"2555","Parus major","Paridae","Passeriformes","Japanese Tit",2.54973561083333,"Parus minor","Passeriformes","Parus major"
"2556","Parus montanus","Paridae","Passeriformes","Willow Tit",1.03988856675,"Poecile montanus","Passeriformes","Poecile montanus"
"2557","Parus monticolus","Paridae","Passeriformes","Green-backed Tit",0.134841576,"Parus monticolus","Passeriformes","Parus monticolus"
"2558","Parus niger","Paridae","Passeriformes","Southern Black-Tit",0.9202393825,"Melaniparus niger","Passeriformes","Melaniparus niger"
"2559","Parus palustris","Paridae","Passeriformes","Marsh Tit",1.24419090709091,"Poecile palustris","Passeriformes","Poecile palustris"
"2560","Parus rufescens","Paridae","Passeriformes","Chestnut-backed Chickadee",1.6588502255,"Poecile rufescens","Passeriformes","Poecile rufescens"
"2561","Parus sclateri","Paridae","Passeriformes","Mexican Chickadee",1.179811315,"Poecile sclateri","Passeriformes","Poecile sclateri"
"2562","Parus spilonotus","Paridae","Passeriformes","Yellow-cheeked Tit",1.660063274,"Machlolophus spilonotus","Passeriformes","Machlolophus spilonotus"
"2563","Parus teneriffae","Paridae","Passeriformes","African Blue Tit",2.993265027,"Cyanistes teneriffae","Passeriformes","Cyanistes teneriffae"
"2564","Parus varius","Paridae","Passeriformes","Chestnut-bellied Tit",0.690975532,"Sittiparus castaneoventris","Passeriformes","Sittiparus castaneoventris"
"2565","Parus varius","Paridae","Passeriformes","Varied Tit",2.000433216,"Sittiparus varius","Passeriformes","Sittiparus varius"
"2566","Parus venustulus","Paridae","Passeriformes","Yellow-bellied Tit",2.4942197405,"Periparus venustulus","Passeriformes","Pardaliparus venustulus"
"2567","Basileuterus belli","Parulidae","Passeriformes","Golden-browed Warbler",0.6047861235,"Basileuterus belli","Passeriformes","Basileuterus belli"
