,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,X,Family_English,Coastal,Notes
36,Ortalis erythroptera,Ortalis erythroptera,Ortalis erythroptera,"Cracidae (Guans, Chachalacas, and Curassows)",Rufous-headed Chachalaca,0.799557377,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
37,Ortalis wagleri,Ortalis wagleri,Ortalis wagleri,"Cracidae (Guans, Chachalacas, and Curassows)",Rufous-bellied Chachalaca,0.964302572,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
38,Ortalis poliocephala,Ortalis poliocephala,Ortalis poliocephala,"Cracidae (Guans, Chachalacas, and Curassows)",West Mexican Chachalaca,0.738731406,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
39,Ortalis canicollis,Ortalis canicollis,Ortalis canicollis,"Cracidae (Guans, Chachalacas, and Curassows)",Chaco Chachalaca,1.130572177,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
40,Ortalis leucogastra,Ortalis leucogastra,Ortalis leucogastra,"Cracidae (Guans, Chachalacas, and Curassows)",White-bellied Chachalaca,0.102549278,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
41,Ortalis guttata,Ortalis columbiana,Ortalis columbiana,"Cracidae (Guans, Chachalacas, and Curassows)",Colombian Chachalaca,1.083089331,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
42,Ortalis guttata,Ortalis guttata,Ortalis guttata,"Cracidae (Guans, Chachalacas, and Curassows)",Speckled Chachalaca,0.582728679,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
43,Ortalis guttata,Ortalis squamata,Ortalis squamata,"Cracidae (Guans, Chachalacas, and Curassows)",Scaled Chachalaca,2.448290021,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
44,Ortalis motmot,Ortalis motmot,Ortalis motmot,"Cracidae (Guans, Chachalacas, and Curassows)",Variable Chachalaca,2.861134908,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
45,Penelope argyrotis,Penelope argyrotis,Penelope argyrotis,"Cracidae (Guans, Chachalacas, and Curassows)",Band-tailed Guan,0.56147701,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
46,Penelope montagnii,Penelope montagnii,Penelope montagnii,"Cracidae (Guans, Chachalacas, and Curassows)",Andean Guan,0.440275637,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
47,Penelope jacquacu,Penelope jacquacu,Penelope jacquacu,"Cracidae (Guans, Chachalacas, and Curassows)",Spix's Guan,0.054356822,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
48,Penelope purpurascens,Penelope purpurascens,Penelope purpurascens,"Cracidae (Guans, Chachalacas, and Curassows)",Crested Guan,0.20614566,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
49,Penelope albipennis,Penelope albipennis,Penelope albipennis,"Cracidae (Guans, Chachalacas, and Curassows)",White-winged Guan,0.003910182,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
50,Penelope obscura,Penelope obscura,Penelope obscura,"Cracidae (Guans, Chachalacas, and Curassows)",Dusky-legged Guan,1.904536793,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
