"","X","MUTIscore","SciName_MUTI","CommonName_MUTI","Species_eBird","Species_Jetz","Family_Jetz","Order_Jetz","CommonName_UAI","aveUAI.x","Order_eBird","Species_BirdLife","family","family.MUTI","Species_UN","Urban","Family_UN_only","Family_all","Family","BLFamilyEnglish.x","Coastal","Notes","Species","IOCOrder","BLFamilyLatin","BLFamilyEnglish.y","Scientific","English","CoastalSp","aveUAI.y"
"24",537,0.911774813,"Cathartes aura","Turkey Vulture","Cathartes aura","Cathartes aura","Cathartidae","Accipitriformes","Turkey Vulture",1.405658159,"Cathartiformes","Cathartes aura","Cathartidae","Cathartidae",NA,NA,"","Cathartidae","Cathartidae","New World vultures","","INVESTIGATE","Cathartes_aura","Accipitriformes","Cathartidae","New World vultures","Cathartes aura","Turkey Vulture","No",1.405658159
"25",538,2.08984821,"Pandion haliaetus","Osprey","Pandion haliaetus","Pandion haliaetus","Accipitridae","Accipitriformes","Osprey",1.654413034,"Accipitriformes","Pandion haliaetus","Pandionidae","Pandionidae",NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Pandion_haliaetus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Pandion haliaetus","Osprey","Yes",1.654413034
"26",539,-1.356633429,"Circus hudsonius","Northern Harrier","Circus hudsonius","Circus cyaneus","Accipitridae","Accipitriformes","Northern Harrier",1.013043303,"Accipitriformes","Circus hudsonius","Accipitridae","Accipitridae",NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Circus_cyaneus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Circus cyaneus","Northern Harrier","Yes",1.013043303
"27",540,0.101048078,"Haliaeetus leucocephalus","Bald Eagle","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Accipitridae","Accipitriformes","Bald Eagle",1.44947834,"Accipitriformes","Haliaeetus leucocephalus","Accipitridae","Accipitridae",NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Haliaeetus_leucocephalus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Haliaeetus leucocephalus","Bald Eagle","Yes",1.44947834
"28",541,0.857122733,"Ictinia mississippiensis","Mississippi Kite","Ictinia mississippiensis","Ictinia mississippiensis","Accipitridae","Accipitriformes","Mississippi Kite",2.189587003,"Accipitriformes","Ictinia mississippiensis","Accipitridae","Accipitridae",NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Ictinia_mississippiensis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Ictinia mississippiensis","Mississippi Kite","No",2.189587003
"29",542,-0.792688966,"Buteo plagiatus","Gray Hawk","Buteo plagiatus","Buteo nitidus","Accipitridae","Accipitriformes","Gray Hawk",0.944008628,"Accipitriformes","Buteo plagiatus","Accipitridae","Accipitridae",NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_nitidus",NA,NA,NA,NA,NA,NA,NA
"30",695,NA,NA,NA,"Accipiter bicolor","Accipiter bicolor","Accipitridae","Accipitriformes","Bicolored Hawk",0.643384159,"Accipitriformes","Accipiter bicolor",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_bicolor",NA,NA,NA,NA,NA,NA,NA
"31",696,NA,NA,NA,"Accipiter brevipes","Accipiter brevipes","Accipitridae","Accipitriformes","Levant Sparrowhawk",2.961498189,"Accipitriformes","Accipiter brevipes",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_brevipes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter brevipes","Levant Sparrowhawk","No",2.961498189
"32",697,NA,NA,NA,"Accipiter gentilis","Accipiter gentilis","Accipitridae","Accipitriformes","Northern Goshawk",1.653420419,"Accipitriformes","Accipiter gentilis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_gentilis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter gentilis","Northern Goshawk","No",1.653420419
"33",698,NA,NA,NA,"Accipiter gularis","Accipiter gularis","Accipitridae","Accipitriformes","Japanese Sparrowhawk",2.472802841,"Accipitriformes","Accipiter gularis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_gularis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter gularis","Japanese Sparrowhawk","No",2.472802841
