,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes
36,Aquila verreauxii,Aquila verreauxii,Aquila verreauxii,"Accipitridae (Hawks, Eagles, and Kites)",Verreaux's Eagle,1.211401318,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
37,Aquila fasciatus,Aquila fasciata,Aquila fasciata,"Accipitridae (Hawks, Eagles, and Kites)",Bonelli's Eagle,1.12587868,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
38,Kaupifalco monogrammicus,Kaupifalco monogrammicus,Kaupifalco monogrammicus,"Accipitridae (Hawks, Eagles, and Kites)",Lizard Buzzard,0.97753818,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
39,Rostrhamus sociabilis,Rostrhamus sociabilis,Rostrhamus sociabilis,"Accipitridae (Hawks, Eagles, and Kites)",Snail Kite,1.911208052,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,freshwater
40,Harpagus bidentatus,Harpagus bidentatus,Harpagus bidentatus,"Accipitridae (Hawks, Eagles, and Kites)",Double-toothed Kite,0.538923706,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
41,Ictinia mississippiensis,Ictinia mississippiensis,Ictinia mississippiensis,"Accipitridae (Hawks, Eagles, and Kites)",Mississippi Kite,2.189587003,Ictinia mississippiensis,0.857122733,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,woodlands
42,Ictinia plumbea,Ictinia plumbea,Ictinia plumbea,"Accipitridae (Hawks, Eagles, and Kites)",Plumbeous Kite,0.525436588,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
43,Butastur teesa,Butastur teesa,Butastur teesa,"Accipitridae (Hawks, Eagles, and Kites)",White-eyed Buzzard,1.231746797,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
44,Butastur indicus,Butastur indicus,Butastur indicus,"Accipitridae (Hawks, Eagles, and Kites)",Gray-faced Buzzard,1.667152406,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,migrate along coast of Japan 
45,Circus ranivorus,Circus ranivorus,Circus ranivorus,"Accipitridae (Hawks, Eagles, and Kites)",African Marsh-Harrier,0.779258739,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
46,Circus buffoni,Circus buffoni,Circus buffoni,"Accipitridae (Hawks, Eagles, and Kites)",Long-winged Harrier,1.645763346,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
47,Circus assimilis,Circus assimilis,Circus assimilis,"Accipitridae (Hawks, Eagles, and Kites)",Spotted Harrier,0.77673743,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal flats
48,Circus maurus,Circus maurus,Circus maurus,"Accipitridae (Hawks, Eagles, and Kites)",Black Harrier,0.473010796,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal dunes
49,Circus cinereus,Circus cinereus,Circus cinereus,"Accipitridae (Hawks, Eagles, and Kites)",Cinereous Harrier,0.688014712,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal marshes
50,Circus cyaneus,Circus cyaneus,Circus cyaneus,"Accipitridae (Hawks, Eagles, and Kites)",Hen Harrier,0.836440845,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
51,Circus cyaneus,Circus hudsonius,Circus hudsonius,"Accipitridae (Hawks, Eagles, and Kites)",Northern Harrier,1.013043303,Circus hudsonius,-1.356633429,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal dunes
52,Circus macrourus,Circus macrourus,Circus macrourus,"Accipitridae (Hawks, Eagles, and Kites)",Pallid Harrier,1.054599529,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
53,Circus melanoleucos,Circus melanoleucos,Circus melanoleucos,"Accipitridae (Hawks, Eagles, and Kites)",Pied Harrier,1.032935077,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
54,Circus pygargus,Circus pygargus,Circus pygargus,"Accipitridae (Hawks, Eagles, and Kites)",Montagu's Harrier,0.659669215,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
