,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,X,Family_English,Coastal,Notes
53,Nettapus coromandelianus,Nettapus coromandelianus,Nettapus coromandelianus,"Anatidae (Ducks, Geese, and Waterfowl)",Cotton Pygmy-Goose,1.29839131,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
54,Callonetta leucophrys,Callonetta leucophrys,Callonetta leucophrys,"Anatidae (Ducks, Geese, and Waterfowl)",Ringed Teal,1.810459088,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
55,Aix sponsa,Aix sponsa,Aix sponsa,"Anatidae (Ducks, Geese, and Waterfowl)",Wood Duck,1.951865355,Aix sponsa,1.743509213,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",No,freshwater 
56,Aix galericulata,Aix galericulata,Aix galericulata,"Anatidae (Ducks, Geese, and Waterfowl)",Mandarin Duck,2.590875574,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
57,Chenonetta jubata,Chenonetta jubata,Chenonetta jubata,"Anatidae (Ducks, Geese, and Waterfowl)",Maned Duck,1.56996267,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
58,Amazonetta brasiliensis,Amazonetta brasiliensis,Amazonetta brasiliensis,"Anatidae (Ducks, Geese, and Waterfowl)",Brazilian Teal,1.882545518,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
59,Merganetta armata,Merganetta armata,Merganetta armata,"Anatidae (Ducks, Geese, and Waterfowl)",Torrent Duck,0.350282191,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
60,Anas querquedula,Spatula querquedula,Spatula querquedula,"Anatidae (Ducks, Geese, and Waterfowl)",Garganey,1.381836045,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
61,Anas hottentota,Spatula hottentota,Spatula hottentota,"Anatidae (Ducks, Geese, and Waterfowl)",Blue-billed Teal,1.454391041,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
62,Anas versicolor,Spatula versicolor,Spatula versicolor,"Anatidae (Ducks, Geese, and Waterfowl)",Silver Teal,1.321946419,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
63,Anas puna,Spatula puna,Spatula puna,"Anatidae (Ducks, Geese, and Waterfowl)",Puna Teal,0.484651279,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",No,high elevation lakes 
64,Anas discors,Spatula discors,Spatula discors,"Anatidae (Ducks, Geese, and Waterfowl)",Blue-winged Teal,1.581460779,Spatula discors,-1.095003472,Anas discors,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
65,Anas cyanoptera,Spatula cyanoptera,Spatula cyanoptera,"Anatidae (Ducks, Geese, and Waterfowl)",Cinnamon Teal,1.389446169,Spatula cyanoptera,0.291610958,Anas cyanoptera,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
66,Anas platalea,Spatula platalea,Spatula platalea,"Anatidae (Ducks, Geese, and Waterfowl)",Red Shoveler,1.469769585,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
67,Anas smithii,Spatula smithii,Spatula smithii,"Anatidae (Ducks, Geese, and Waterfowl)",Cape Shoveler,1.688535034,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
68,Anas rhynchotis,Spatula rhynchotis,Spatula rhynchotis,"Anatidae (Ducks, Geese, and Waterfowl)",Australasian Shoveler,1.144302746,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
69,Anas clypeata,Spatula clypeata,Spatula clypeata,"Anatidae (Ducks, Geese, and Waterfowl)",Northern Shoveler,1.636677209,Spatula clypeata,-1.273463061,Anas clypeata,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
70,Anas strepera,Mareca strepera,Mareca strepera,"Anatidae (Ducks, Geese, and Waterfowl)",Gadwall,1.608340407,Mareca strepera,-0.813712493,Anas strepera,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
71,Anas falcata,Mareca falcata,Mareca falcata,"Anatidae (Ducks, Geese, and Waterfowl)",Falcated Duck,2.037956723,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
72,Anas penelope,Mareca penelope,Mareca penelope,"Anatidae (Ducks, Geese, and Waterfowl)",Eurasian Wigeon,1.487227459,NA,NA,Anas penelope,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
73,Anas americana,Mareca americana,Mareca americana,"Anatidae (Ducks, Geese, and Waterfowl)",American Wigeon,1.715832214,Mareca americana,-1.162931818,Anas americana,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
74,Anas sibilatrix,Mareca sibilatrix,Mareca sibilatrix,"Anatidae (Ducks, Geese, and Waterfowl)",Chiloe Wigeon,1.7213125,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
75,Anas sparsa,Anas sparsa,Anas sparsa,"Anatidae (Ducks, Geese, and Waterfowl)",African Black Duck,1.970382216,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
76,Anas undulata,Anas undulata,Anas undulata,"Anatidae (Ducks, Geese, and Waterfowl)",Yellow-billed Duck,1.202239451,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
77,Anas melleri,Anas melleri,Anas melleri,"Anatidae (Ducks, Geese, and Waterfowl)",Meller's Duck,1.637810119,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
78,Anas superciliosa,Anas superciliosa,Anas superciliosa,"Anatidae (Ducks, Geese, and Waterfowl)",Pacific Black Duck,1.539253723,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
79,Anas poecilorhyncha,Anas poecilorhyncha,Anas poecilorhyncha,"Anatidae (Ducks, Geese, and Waterfowl)",Indian Spot-billed Duck,1.48346018,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
80,Anas poecilorhyncha,Anas zonorhyncha,Anas zonorhyncha,"Anatidae (Ducks, Geese, and Waterfowl)",Eastern Spot-billed Duck,2.212505492,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
81,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Mallard,2.027289854,Anas platyrhynchos,1.830146203,Anas platyrhynchos,U,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
82,Anas rubripes,Anas rubripes,Anas rubripes,"Anatidae (Ducks, Geese, and Waterfowl)",American Black Duck,2.08335016,Anas rubripes,0.251627341,Anas rubripes,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
83,Anas fulvigula,Anas fulvigula,Anas fulvigula,"Anatidae (Ducks, Geese, and Waterfowl)",Mottled Duck,1.580106454,Anas fulvigula,1.471974087,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
84,Anas capensis,Anas capensis,Anas capensis,"Anatidae (Ducks, Geese, and Waterfowl)",Cape Teal,1.496115375,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
85,Anas bahamensis,Anas bahamensis,Anas bahamensis,"Anatidae (Ducks, Geese, and Waterfowl)",White-cheeked Pintail,1.429710393,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
86,Anas erythrorhyncha,Anas erythrorhyncha,Anas erythrorhyncha,"Anatidae (Ducks, Geese, and Waterfowl)",Red-billed Duck,1.399144245,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
87,Anas acuta,Anas acuta,Anas acuta,"Anatidae (Ducks, Geese, and Waterfowl)",Northern Pintail,1.455304569,Anas acuta,-1.631365837,Anas acuta,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
88,Anas georgica,Anas georgica,Anas georgica,"Anatidae (Ducks, Geese, and Waterfowl)",Yellow-billed Pintail,1.306757827,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
