"","MUTIscore","SciName_MUTI","CommonName_MUTI","Species_eBird","Species_Jetz","Family_Jetz","CommonName_UAI","aveUAI","Species_BirdLife","Species_UN","Urban","family.MUTI","Family_all","Species","English","Coastal"
"50",0.608155679,"Larus marinus","Great Black-backed Gull","Larus marinus","Larus marinus","Laridae","Great Black-backed Gull",1.922199495,"Larus marinus","Larus marinus","U","Laridae","Laridae","Larus_marinus",NA,"Yes"
"51",-0.444874983,"Sterna dougallii","Roseate Tern","Sterna dougallii","Sterna dougallii","Laridae","Roseate Tern",1.474160396,"Sterna dougallii","Sterna dougallii","N","Laridae","Laridae","Sterna_dougallii",NA,"Yes"
"52",0.109427999,"Sterna hirundo","Common Tern","Sterna hirundo","Sterna hirundo","Laridae","Common Tern",1.497987548,"Sterna hirundo","Sterna hirundo","U","Laridae","Laridae","Sterna_hirundo",NA,"Yes"
"53",1.275882455,"Sterna forsteri","Forster's Tern","Sterna forsteri","Sterna forsteri","Laridae","Forster's Tern",1.485919755,"Sterna forsteri","Sterna forsteri","N","Laridae","Laridae","Sterna_forsteri",NA,"Yes"
"54",0.980183627,"Ixobrychus exilis","Least Bittern","Ixobrychus exilis","Ixobrychus exilis","Ardeidae","Least Bittern",1.824398979,"Ixobrychus exilis","Ixobrychus exilis","N","Ardeidae","Ardeidae","Ixobrychus_exilis",NA,"Yes"
"55",1.229218034,"Buteo jamaicensis","Red-tailed Hawk","Buteo jamaicensis","Buteo jamaicensis","Accipitridae","Red-tailed Hawk",1.406946805,"Buteo jamaicensis","Buteo jamaicensis","U","Accipitridae","Accipitridae","Buteo_jamaicensis","Red-tailed Hawk","Yes"
"56",0.512835804,"Falco columbarius","Merlin","Falco columbarius","Falco columbarius","Falconidae","Merlin",1.832785331,"Falco columbarius","Falco columbarius","U","Falconidae","Falconidae","Falco_columbarius","Merlin","Yes"
"57",NA,NA,NA,"Buteo lagopus","Buteo lagopus","Accipitridae","Rough-legged Hawk",1.018369228,"Buteo lagopus","Buteo lagopus","N",NA,"Accipitridae","Buteo_lagopus","Rough-legged Hawk","Yes"
"58",NA,NA,NA,"Branta bernicla","Branta bernicla","Anatidae","Brant",1.720846385,"Branta bernicla","Branta bernicla","N",NA,"Anatidae","Branta_bernicla",NA,"Yes"
"59",NA,NA,NA,"Branta leucopsis","Branta leucopsis","Anatidae","Barnacle Goose",1.359123395,"Branta leucopsis","Branta leucopsis","N",NA,"Anatidae","Branta_leucopsis",NA,"Yes"
"60",NA,NA,NA,"Cygnus atratus","Cygnus atratus","Anatidae","Black Swan",1.193373139,"Cygnus atratus","Cygnus atratus","U",NA,"Anatidae","Cygnus_atratus",NA,"Yes"
"61",NA,NA,NA,"Cygnus columbianus","Cygnus columbianus","Anatidae","Tundra Swan",1.133051755,"Cygnus columbianus","Cygnus columbianus","N",NA,"Anatidae","Cygnus_columbianus",NA,"Yes"
"62",NA,NA,NA,"Cygnus cygnus","Cygnus cygnus","Anatidae","Whooper Swan",1.090581948,"Cygnus cygnus","Cygnus cygnus","N",NA,"Anatidae","Cygnus_cygnus",NA,"Yes"
"63",NA,NA,NA,"Burhinus grallarius","Burhinus grallarius","Burhinidae","Bush Thick-knee",1.848885256,"Burhinus grallarius","Burhinus grallarius","U",NA,"Burhinidae","Burhinus_grallarius",NA,"Yes"
"64",NA,NA,NA,"Burhinus oedicnemus","Burhinus oedicnemus","Burhinidae","Eurasian Thick-knee",1.394750992,"Burhinus oedicnemus","Burhinus oedicnemus","N",NA,"Burhinidae","Burhinus_oedicnemus",NA,"Yes"
"65",NA,NA,NA,"Charadrius alexandrinus","Charadrius alexandrinus","Charadriidae","Kentish Plover",1.678253918,"Charadrius alexandrinus","Charadrius alexandrinus","N",NA,"Charadriidae","Charadrius_alexandrinus",NA,"Yes"
"66",NA,NA,NA,"Charadrius alexandrinus","Charadrius alexandrinus","Charadriidae","Kentish Plover",1.678253918,"Charadrius alexandrinus","Charadrius alexandrinus","N",NA,"Charadriidae","Charadrius_alexandrinus",NA,"Yes"
"67",NA,NA,NA,"Charadrius dubius","Charadrius dubius","Charadriidae","Little Ringed Plover",1.562408741,"Charadrius dubius","Charadrius dubius","U",NA,"Charadriidae","Charadrius_dubius",NA,"Yes"
"68",NA,NA,NA,"Charadrius dubius","Charadrius dubius","Charadriidae","Little Ringed Plover",1.562408741,"Charadrius dubius","Charadrius dubius","U",NA,"Charadriidae","Charadrius_dubius",NA,"Yes"
"69",NA,NA,NA,"Charadrius hiaticula","Charadrius hiaticula","Charadriidae","Common Ringed Plover",1.695980437,"Charadrius hiaticula","Charadrius hiaticula","U",NA,"Charadriidae","Charadrius_hiaticula",NA,"Yes"
"70",NA,NA,NA,"Charadrius hiaticula","Charadrius hiaticula","Charadriidae","Common Ringed Plover",1.695980437,"Charadrius hiaticula","Charadrius hiaticula","U",NA,"Charadriidae","Charadrius_hiaticula",NA,"Yes"
"71",NA,NA,NA,"Charadrius leschenaultii","Charadrius leschenaultii","Charadriidae","Greater Sand-Plover",1.148637265,"Charadrius leschenaultii","Charadrius leschenaultii","N",NA,"Charadriidae","Charadrius_leschenaultii",NA,"Yes"
"72",NA,NA,NA,"Charadrius leschenaultii","Charadrius leschenaultii","Charadriidae","Greater Sand-Plover",1.148637265,"Charadrius leschenaultii","Charadrius leschenaultii","N",NA,"Charadriidae","Charadrius_leschenaultii",NA,"Yes"
"73",NA,NA,NA,"Charadrius mongolus","Charadrius mongolus","Charadriidae","Lesser Sand-Plover",1.559613623,"Charadrius mongolus","Charadrius mongolus","N",NA,"Charadriidae","Charadrius_mongolus",NA,"Yes"
"74",NA,NA,NA,"Charadrius mongolus","Charadrius mongolus","Charadriidae","Lesser Sand-Plover",1.559613623,"Charadrius mongolus","Charadrius mongolus","N",NA,"Charadriidae","Charadrius_mongolus",NA,"Yes"
"75",NA,NA,NA,"Charadrius ruficapillus","Charadrius ruficapillus","Charadriidae","Red-capped Plover",0.807891122,"Charadrius ruficapillus","Charadrius ruficapillus","N",NA,"Charadriidae","Charadrius_ruficapillus",NA,"Yes"
"76",NA,NA,NA,"Charadrius ruficapillus","Charadrius ruficapillus","Charadriidae","Red-capped Plover",0.807891122,"Charadrius ruficapillus","Charadrius ruficapillus","N",NA,"Charadriidae","Charadrius_ruficapillus",NA,"Yes"
"77",NA,NA,NA,"Charadrius semipalmatus","Charadrius semipalmatus","Charadriidae","Semipalmated Plover",1.417777238,"Charadrius semipalmatus","Charadrius semipalmatus","N",NA,"Charadriidae","Charadrius_semipalmatus",NA,"Yes"
"78",NA,NA,NA,"Charadrius semipalmatus","Charadrius semipalmatus","Charadriidae","Semipalmated Plover",1.417777238,"Charadrius semipalmatus","Charadrius semipalmatus","N",NA,"Charadriidae","Charadrius_semipalmatus",NA,"Yes"
"79",NA,NA,NA,"Vanellus indicus","Vanellus indicus","Charadriidae","Red-wattled Lapwing",1.630362281,"Vanellus indicus","Vanellus indicus","U",NA,"Charadriidae","Vanellus_indicus",NA,"Yes"
"80",NA,NA,NA,"Vanellus indicus","Vanellus indicus","Charadriidae","Red-wattled Lapwing",1.630362281,"Vanellus indicus","Vanellus indicus","U",NA,"Charadriidae","Vanellus_indicus",NA,"Yes"
"81",NA,NA,NA,"Vanellus miles","Vanellus miles","Charadriidae","Masked Lapwing",1.511753381,"Vanellus miles","Vanellus miles","U",NA,"Charadriidae","Vanellus_miles",NA,"Yes"
"82",NA,NA,NA,"Vanellus miles","Vanellus miles","Charadriidae","Masked Lapwing",1.511753381,"Vanellus miles","Vanellus miles","U",NA,"Charadriidae","Vanellus_miles",NA,"Yes"
"83",NA,NA,NA,"Vanellus spinosus","Vanellus spinosus","Charadriidae","Spur-winged Lapwing",0.986400628,"Vanellus spinosus","Vanellus spinosus","N",NA,"Charadriidae","Vanellus_spinosus",NA,"Yes"
"84",NA,NA,NA,"Vanellus spinosus","Vanellus spinosus","Charadriidae","Spur-winged Lapwing",0.986400628,"Vanellus spinosus","Vanellus spinosus","N",NA,"Charadriidae","Vanellus_spinosus",NA,"Yes"
"85",NA,NA,NA,"Vanellus vanellus","Vanellus vanellus","Charadriidae","Northern Lapwing",0.937490545,"Vanellus vanellus","Vanellus vanellus","U",NA,"Charadriidae","Vanellus_vanellus",NA,"Yes"
"86",NA,NA,NA,"Vanellus vanellus","Vanellus vanellus","Charadriidae","Northern Lapwing",0.937490545,"Vanellus vanellus","Vanellus vanellus","U",NA,"Charadriidae","Vanellus_vanellus",NA,"Yes"
"87",NA,NA,NA,"Larus armenicus","Larus armenicus","Laridae","Armenian Gull",1.153796023,"Larus armenicus","Larus armenicus","N",NA,"Laridae","Larus_armenicus",NA,"Yes"
"88",NA,NA,NA,"Larus cachinnans","Larus cachinnans","Laridae","Caspian Gull",1.564709708,"Larus cachinnans","Larus cachinnans","N",NA,"Laridae","Larus_cachinnans",NA,"Yes"
"89",NA,NA,NA,"Larus dominicanus","Larus dominicanus","Laridae","Kelp Gull",1.62830299,"Larus dominicanus","Larus dominicanus","U",NA,"Laridae","Larus_dominicanus",NA,"Yes"
"90",NA,NA,NA,"Larus fuscus","Larus fuscus","Laridae","Lesser Black-backed Gull",2.140049216,"Larus fuscus","Larus fuscus","U",NA,"Laridae","Larus_fuscus",NA,"Yes"
"91",NA,NA,NA,"Larus heermanni","Larus heermanni","Laridae","Heermann's Gull",1.68483276,"Larus heermanni","Larus heermanni","N",NA,"Laridae","Larus_heermanni",NA,"Yes"
"92",NA,NA,NA,"Calidris acuminata","Calidris acuminata","Scolopacidae","Sharp-tailed Sandpiper",1.126313126,"Calidris acuminata","Calidris acuminata","U",NA,"Scolopacidae","Calidris_acuminata",NA,"Yes"
"93",NA,NA,NA,"Calidris acuminata","Calidris acuminata","Scolopacidae","Sharp-tailed Sandpiper",1.126313126,"Calidris acuminata","Calidris acuminata","U",NA,"Scolopacidae","Calidris_acuminata",NA,"Yes"
"94",NA,NA,NA,"Calidris alba","Calidris alba","Scolopacidae","Sanderling",1.317899341,"Calidris alba","Calidris alba","N",NA,"Scolopacidae","Calidris_alba",NA,"Yes"
"95",NA,NA,NA,"Calidris alba","Calidris alba","Scolopacidae","Sanderling",1.317899341,"Calidris alba","Calidris alba","N",NA,"Scolopacidae","Calidris_alba",NA,"Yes"
"96",NA,NA,NA,"Calidris alpina","Calidris alpina","Scolopacidae","Dunlin",1.479241047,"Calidris alpina","Calidris alpina","N",NA,"Scolopacidae","Calidris_alpina",NA,"Yes"
"97",NA,NA,NA,"Calidris alpina","Calidris alpina","Scolopacidae","Dunlin",1.479241047,"Calidris alpina","Calidris alpina","N",NA,"Scolopacidae","Calidris_alpina",NA,"Yes"
"98",NA,NA,NA,"Calidris bairdii","Calidris bairdii","Scolopacidae","Baird's Sandpiper",1.022908678,"Calidris bairdii","Calidris bairdii","N",NA,"Scolopacidae","Calidris_bairdii",NA,"Yes"
"99",NA,NA,NA,"Calidris bairdii","Calidris bairdii","Scolopacidae","Baird's Sandpiper",1.022908678,"Calidris bairdii","Calidris bairdii","N",NA,"Scolopacidae","Calidris_bairdii",NA,"Yes"
"100",NA,NA,NA,"Calidris canutus","Calidris canutus","Scolopacidae","Red Knot",1.043006399,"Calidris canutus","Calidris canutus","N",NA,"Scolopacidae","Calidris_canutus",NA,"Yes"
"101",NA,NA,NA,"Calidris canutus","Calidris canutus","Scolopacidae","Red Knot",1.043006399,"Calidris canutus","Calidris canutus","N",NA,"Scolopacidae","Calidris_canutus",NA,"Yes"
"102",NA,NA,NA,"Calidris ferruginea","Calidris ferruginea","Scolopacidae","Curlew Sandpiper",1.21573489,"Calidris ferruginea","Calidris ferruginea","N",NA,"Scolopacidae","Calidris_ferruginea",NA,"Yes"
"103",NA,NA,NA,"Calidris ferruginea","Calidris ferruginea","Scolopacidae","Curlew Sandpiper",1.21573489,"Calidris ferruginea","Calidris ferruginea","N",NA,"Scolopacidae","Calidris_ferruginea",NA,"Yes"
"104",NA,NA,NA,"Calidris himantopus","Calidris himantopus","Scolopacidae","Stilt Sandpiper",1.344700727,"Calidris himantopus","Calidris himantopus","N",NA,"Scolopacidae","Calidris_himantopus",NA,"Yes"
"105",NA,NA,NA,"Calidris himantopus","Calidris himantopus","Scolopacidae","Stilt Sandpiper",1.344700727,"Calidris himantopus","Calidris himantopus","N",NA,"Scolopacidae","Calidris_himantopus",NA,"Yes"
"106",NA,NA,NA,"Calidris maritima","Calidris maritima","Scolopacidae","Purple Sandpiper",2.047983058,"Calidris maritima","Calidris maritima","N",NA,"Scolopacidae","Calidris_maritima",NA,"Yes"
"107",NA,NA,NA,"Calidris maritima","Calidris maritima","Scolopacidae","Purple Sandpiper",2.047983058,"Calidris maritima","Calidris maritima","N",NA,"Scolopacidae","Calidris_maritima",NA,"Yes"
"108",NA,NA,NA,"Calidris mauri","Calidris mauri","Scolopacidae","Western Sandpiper",1.450756144,"Calidris mauri","Calidris mauri","N",NA,"Scolopacidae","Calidris_mauri",NA,"Yes"
"109",NA,NA,NA,"Calidris mauri","Calidris mauri","Scolopacidae","Western Sandpiper",1.450756144,"Calidris mauri","Calidris mauri","N",NA,"Scolopacidae","Calidris_mauri",NA,"Yes"
"110",NA,NA,NA,"Calidris melanotos","Calidris melanotos","Scolopacidae","Pectoral Sandpiper",1.35047674,"Calidris melanotos","Calidris melanotos","N",NA,"Scolopacidae","Calidris_melanotos",NA,"Yes"
"111",NA,NA,NA,"Calidris melanotos","Calidris melanotos","Scolopacidae","Pectoral Sandpiper",1.35047674,"Calidris melanotos","Calidris melanotos","N",NA,"Scolopacidae","Calidris_melanotos",NA,"Yes"
