IOCOrder,BLFamilyLatin,BLFamilyEnglish,Species,Scientific,English,CoastalSp,aveUAI
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Haliastur_sphenurus,Haliastur sphenurus,Whistling Kite,Yes,0.842407658
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_regalis,Buteo regalis,Ferruginous Hawk,,0.863435187
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Lophoictinia_isura,Lophoictinia isura,Square-tailed Kite,,0.906312185
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aquila_rapax,Aquila rapax,Tawny Eagle,,0.914974317
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_rufofuscus,Buteo rufofuscus,Jackal Buzzard,,0.92270469
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Geranospiza_caerulescens,Geranospiza caerulescens,Crane Hawk,Yes,0.961202586
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Kaupifalco_monogrammicus,Kaupifalco monogrammicus,Lizard Buzzard,,0.97753818
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Lophaetus_occipitalis,Lophaetus occipitalis,Long-crested Eagle,,0.985066816
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Gypohierax_angolensis,Gypohierax angolensis,Palm-nut Vulture,Yes,0.998324615
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_cyaneus,Circus cyaneus,Northern Harrier,Yes,1.013043303
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_lagopus,Buteo lagopus,Rough-legged Hawk,Yes,1.018369228
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Haliaeetus_vocifer,Haliaeetus vocifer,African Fish-eagle,Yes,1.03228529
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_melanoleucos,Circus melanoleucos,Pied Harrier,,1.032935077
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_macrourus,Circus macrourus,Pallid Harrier,,1.054599529
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Nisaetus_cirrhatus,Nisaetus cirrhatus,Changeable Hawk-eagle,,1.084974144
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteogallus_meridionalis,Buteogallus meridionalis,Savanna Hawk,Yes,1.100144156
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aquila_fasciatus,Aquila fasciatus,Bonelli's Eagle,,1.12587868
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Spilornis_cheela,Spilornis cheela,Crested Serpent-eagle,Yes,1.134466213
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Gyps_africanus,Gyps africanus,White-backed Vulture,Yes,1.140660353
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Haliaeetus_leucogaster,Haliaeetus leucogaster,White-bellied Sea-eagle,Yes,1.146532454
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Neophron_percnopterus,Neophron percnopterus,Egyptian Vulture,,1.161109339
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_augur,Buteo augur,Augur Buzzard,,1.161365582
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circaetus_gallicus,Circaetus gallicus,Short-toed Snake-eagle,,1.171357268
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aquila_verreauxii,Aquila verreauxii,Verreaux's Eagle,,1.211401318
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_buteo,Buteo buteo,Common Buzzard,,1.225068333
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_rufinus,Buteo rufinus,Long-legged Buzzard,,1.23005876
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Butastur_teesa,Butastur teesa,White-eyed Buzzard,,1.231746797
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,,1.237476805
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Pernis_apivorus,Pernis apivorus,European Honey-buzzard,,1.302738493
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_albicaudatus,Buteo albicaudatus,White-tailed Hawk,,1.34629837
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Elanus_axillaris,Elanus axillaris,Black-shouldered Kite,,1.365394618
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Elanus_caeruleus,Elanus caeruleus,Black-winged Kite,,1.367172806
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Harpyhaliaetus_coronatus,Harpyhaliaetus coronatus,Crowned Eagle,,1.372427906
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aviceda_subcristata,Aviceda subcristata,Pacific Baza,Yes,1.387799132
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_jamaicensis,Buteo jamaicensis,Red-tailed Hawk,Yes,1.406946805
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Busarellus_nigricollis,Busarellus nigricollis,Black-collared Hawk,Yes,1.407593623
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aegypius_monachus,Aegypius monachus,Cinereous Vulture,,1.417262379
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_cirrocephalus,Accipiter cirrocephalus,Collared Sparrowhawk,,1.43878721
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Polyboroides_typus,Polyboroides typus,African Harrier-hawk,,1.448751249
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Haliaeetus_leucocephalus,Haliaeetus leucocephalus,Bald Eagle,Yes,1.44947834
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_spilonotus,Circus spilonotus,Eastern Marsh-harrier,Yes,1.470870422
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_fasciatus,Accipiter fasciatus,Brown Goshawk,,1.47249812
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Gampsonyx_swainsonii,Gampsonyx swainsonii,Pearl Kite,,1.47324529
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_albonotatus,Buteo albonotatus,Zone-tailed Hawk,,1.48336823
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aquila_hastata,Aquila hastata,Indian Spotted Eagle,,1.490141911
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_swainsoni,Buteo swainsoni,Swainson's Hawk,,1.505416308
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Necrosyrtes_monachus,Necrosyrtes monachus,Hooded Vulture,,1.506793588
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_platypterus,Buteo platypterus,Broad-winged Hawk,,1.543754105
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Chondrohierax_uncinatus,Chondrohierax uncinatus,Hook-billed Kite,Yes,1.552151596
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_brachyurus,Buteo brachyurus,Short-tailed Hawk,,1.554134227
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Hieraaetus_pennatus,Hieraaetus pennatus,Booted Eagle,,1.578710078
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_buffoni,Circus buffoni,Long-winged Harrier,,1.645763346
