Family_all,Coastal,Notes,Species,IOCOrder,English,CoastalSp
Accipitridae,Yes,INVESTIGATE,Circus_ranivorus,Accipitriformes,African Marsh-harrier,Yes
Accipitridae,Yes,INVESTIGATE,Circus_spilonotus,Accipitriformes,Eastern Marsh-harrier,Yes
Accipitridae,Yes,INVESTIGATE,Geranospiza_caerulescens,Accipitriformes,Crane Hawk,Yes
Accipitridae,Yes,INVESTIGATE,Gypohierax_angolensis,Accipitriformes,Palm-nut Vulture,Yes
Accipitridae,Yes,INVESTIGATE,Gyps_africanus,Accipitriformes,White-backed Vulture,Yes
Accipitridae,Yes,INVESTIGATE,Haliaeetus_albicilla,Accipitriformes,White-tailed Eagle,Yes
Accipitridae,Yes,INVESTIGATE,Haliaeetus_leucogaster,Accipitriformes,White-bellied Sea-eagle,Yes
Accipitridae,Yes,INVESTIGATE,Haliaeetus_vocifer,Accipitriformes,African Fish-eagle,Yes
Accipitridae,Yes,INVESTIGATE,Haliastur_indus,Accipitriformes,Brahminy Kite,Yes
Accipitridae,Yes,INVESTIGATE,Haliastur_sphenurus,Accipitriformes,Whistling Kite,Yes
Accipitridae,Yes,INVESTIGATE,Milvus_migrans,Accipitriformes,Black Kite,Yes
Accipitridae,Yes,INVESTIGATE,Spilornis_cheela,Accipitriformes,Crested Serpent-eagle,Yes
Cathartidae,Yes,INVESTIGATE,Cathartes_burrovianus,Accipitriformes,Lesser Yellow-headed Vulture,Yes
Cathartidae,Yes,INVESTIGATE,Coragyps_atratus,Accipitriformes,Black Vulture,Yes
Cathartidae,Yes,INVESTIGATE,Vultur_gryphus,Accipitriformes,Andean Condor,Yes
Falconidae,Yes,INVESTIGATE,Daptrius_ater,Falconiformes,Black Caracara,Yes
Falconidae,Yes,INVESTIGATE,Falco_femoralis,Falconiformes,Aplomado Falcon,Yes
Falconidae,Yes,INVESTIGATE,Micrastur_ruficollis,Falconiformes,Barred Forest-falcon,Yes
Falconidae,Yes,INVESTIGATE,Micrastur_semitorquatus,Falconiformes,Collared Forest-falcon,Yes
