"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes"
"36","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ardeidae (Herons, Egrets, and Bitterns)","Least Bittern",1.82439897945455,"Ixobrychus exilis",0.980183627,"Ixobrychus exilis",0,"Ardeidae","(Herons, Egrets, and Bitterns)","Yes",""
"37","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","Passerellidae (New World Sparrows)","Swamp Sparrow",1.65435016294444,"Melospiza georgiana",0.741691746,"Melospiza georgiana",0,"Passerellidae","(New World Sparrows)","Yes","coastal marshes"
"38","Dendroica tigrina","Setophaga tigrina","Setophaga tigrina","Parulidae (New World Warblers)","Cape May Warbler",2.09664661977778,"Setophaga tigrina",-1.189080387,"Dendroica tigrina",0,"Parulidae","(New World Warblers)","Yes","mangroves and coastal vegetation"
"39","Dendroica castanea","Setophaga castanea","Setophaga castanea","Parulidae (New World Warblers)","Bay-breasted Warbler",1.84453511578571,"Setophaga castanea",-1.507390822,"Dendroica castanea",0,"Parulidae","(New World Warblers)","Yes","coastal habitats"
"40","Dendroica palmarum","Setophaga palmarum","Setophaga palmarum","Parulidae (New World Warblers)","Palm Warbler",2.05511710961905,"Setophaga palmarum",-1.617073807,"Dendroica palmarum",0,"Parulidae","(New World Warblers)","Yes","coastal stands"
"41","Buteo swainsoni","Buteo swainsoni","Buteo swainsoni","Accipitridae (Hawks, Eagles, and Kites)","Swainson's Hawk",1.50541630847059,"Buteo swainsoni",0.122082355,"Buteo swainsoni",1,"Accipitridae","(Hawks, Eagles, and Kites)","Yes","salt marshes"
"42","Buteo albonotatus","Buteo albonotatus","Buteo albonotatus","Accipitridae (Hawks, Eagles, and Kites)","Zone-tailed Hawk",1.4833682295,"Buteo albonotatus",-1.676962755,"Buteo albonotatus",0,"Accipitridae","(Hawks, Eagles, and Kites)","Yes","coastal plains"
"43","Buteo jamaicensis","Buteo jamaicensis","Buteo jamaicensis","Accipitridae (Hawks, Eagles, and Kites)","Red-tailed Hawk",1.40694680530303,"Buteo jamaicensis",1.229218034,"Buteo jamaicensis",1,"Accipitridae","(Hawks, Eagles, and Kites)","Yes","coastlines"
"44","Charadrius vociferus","Charadrius vociferus","Charadrius vociferus","Charadriidae (Plovers and Lapwings)","Killdeer",1.59791768941026,"Charadrius vociferus",1.751377692,"Charadrius vociferus",1,"Charadriidae","(Plovers and Lapwings)","Yes","shorelines"
"45","Falco columbarius","Falco columbarius","Falco columbarius","Falconidae (Falcons and Caracaras)","Merlin",1.83278533113889,"Falco columbarius",0.512835804,"Falco columbarius",1,"Falconidae","(Falcons and Caracaras)","Yes","tidal flats and marshes (hunts shorebirds)"
"46","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Cuculidae (Cuckoos)","Black-billed Cuckoo",1.371936674,"Coccyzus erythropthalmus",0.192462831,"Coccyzus erythropthalmus",1,"Cuculidae","(Cuckoos)","Yes","coastal prairies and mangroves"
"47","Caprimulgus vociferus","Antrostomus vociferus","Antrostomus vociferus","Caprimulgidae (Nightjars and Allies)","Eastern Whip-poor-will",0.8437188178,"Antrostomus vociferus",-0.654089467,"Caprimulgus vociferus",0,"Caprimulgidae","(Nightjars and Allies)","Yes","tidewater areas"
"48","Cinclus mexicanus","Cinclus mexicanus","Cinclus mexicanus","Cinclidae (Dippers)","American Dipper",1.37776582816667,"Cinclus mexicanus",-1.402856322,"Cinclus mexicanus",1,"Cinclidae","(Dippers)","Yes","estuaries and coastal habitats"
"49","Rallus longirostris","Rallus crepitans","Rallus crepitans","Rallidae (Rails, Gallinules, and Coots)","Clapper Rail",1.364332169,"Rallus crepitans",-0.585008904,"Rallus longirostris",0,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
