"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes"
"150","Rallus elegans","Rallus elegans","Rallus elegans","Rallidae (Rails, Gallinules, and Coots)","King Rail",0.782483041,"Rallus elegans",-0.875336956,"Rallus elegans","N","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"151","Rallus longirostris","Rallus crepitans","Rallus crepitans","Rallidae (Rails, Gallinules, and Coots)","Clapper Rail",1.364332169,"Rallus crepitans",-0.585008904,"Rallus longirostris","N","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"152","Rallus limicola","Rallus limicola","Rallus limicola","Rallidae (Rails, Gallinules, and Coots)","Virginia Rail",1.43235217594118,"Rallus limicola",1.764891207,"Rallus limicola","N","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"153","Rallus semiplumbeus","Rallus semiplumbeus","Rallus semiplumbeus","Rallidae (Rails, Gallinules, and Coots)","Bogota Rail",1.948963563,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"154","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus","Rallidae (Rails, Gallinules, and Coots)","Water Rail",1.19467208253333,NA,NA,"Rallus aquaticus","U","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"155","Rallus aquaticus","Rallus indicus","Rallus indicus","Rallidae (Rails, Gallinules, and Coots)","Brown-cheeked Rail",1.95716238,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"156","Dryolimnas cuvieri","Dryolimnas cuvieri","Dryolimnas cuvieri","Rallidae (Rails, Gallinules, and Coots)","White-throated Rail",1.083726649,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"157","Rougetius rougetii","Rougetius rougetii","Rougetius rougetii","Rallidae (Rails, Gallinules, and Coots)","Rouget's Rail",2.175808739,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"158","Gallirallus striatus","Lewinia striata","Lewinia striata","Rallidae (Rails, Gallinules, and Coots)","Slaty-breasted Rail",1.68194692925,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"159","Lewinia pectoralis","Lewinia pectoralis","Lewinia pectoralis","Rallidae (Rails, Gallinules, and Coots)","Lewin's Rail",1.60007064566667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"160","Eulabeornis castaneoventris","Gallirallus castaneoventris","Eulabeornis castaneoventris","Rallidae (Rails, Gallinules, and Coots)","Chestnut Rail",1.156716899,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"161","Gallirallus australis","Gallirallus australis","Gallirallus australis","Rallidae (Rails, Gallinules, and Coots)","Weka",0.110806108,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
