animal,urban,humanDisturbed,UTI,tolerance,invasion.potential,Brain,Body,broodValue,HA,DA
Lophozosterops_superciliaris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Lophozosterops_javanicus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophozosterops_squamiceps,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophozosterops_pinaiae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophozosterops_goodfellowi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophozosterops_dohertyi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Rukia_longirostra,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rukia_ruki,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Rhopocichla_atriceps,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_nigrorum,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_rotensis,0,0,NA,"NA",NA,NA,NA,NA,0,0.24
Zosterops_citrinella,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_anomalus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_luteus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_albogularis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_samoensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_fuscicapilla,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_hypoxanthus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_vaughani,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Woodfordia_superciliosa,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Woodfordia_lacertosa,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_flavifrons,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_uropygialis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tephrozosterops_stalkeri,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_novaeguineae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_inornatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_rennellianus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_lateralis,0,1,-0.6756229805677736,exploiter,NA,0.45,10.55,-1.476618207,0.444444444444444,0.35
Zosterops_conspicillatus,0,1,NA,"NA",NA,NA,NA,NA,0.375,0.4
Zosterops_griseotinctus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_murphyi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_kulambangrae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_rendovae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_splendidus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_luteirostris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_vellalavella,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_chloronothus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_metcalfii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_kuehni,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_stresemanni,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_cinereus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_somadikartai,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_oleagineus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_xanthochroa,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_minor,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_buruensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_chloris,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_minutus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_atrifrons,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Chlorocharis_emiliae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_atricapilla,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_abyssinicus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_erythropleurus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_nehrkorni,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_montanus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_japonicus,1,1,-1.2791051387573174,"NA",0.63,0.5405,10.18,-1.189552538,0.4,0.33
Zosterops_finschii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_meeki,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Madanga_ruficollis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_everetti,0,0,-0.048009219186360585,"NA",NA,NA,NA,NA,0.375,0.33
Zosterops_natalis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_hypolais,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_salvadorii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_mysorensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_borbonicus,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_meyeni,0,1,-0.03343477608623724,"NA",NA,NA,NA,NA,0.333333333333333,0.32
Zosterops_grayi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_explorator,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_tenuirostris,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_mouroniensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_olivaceus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_ficedulinus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_mayottensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_palpebrosus,0,0,0.21433542503981862,NA,NA,NA,NA,NA,NA,NA
Zosterops_maderaspatanus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_modestus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_pallidus,0,1,0.2203452284807672,exploiter,NA,NA,NA,-1.130333768,0.428571428571428,0.35
Micromacronus_sordidus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Micromacronus_leytensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Speirops_brunneus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Speirops_leucophoeus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Speirops_melanocephalus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Speirops_lugubris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_consobrinorum,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_senegalensis,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_poliogastrus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_sanctaecrucis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_semperi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_ceylonensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_gibbsi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_flavus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_wallacei,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Megazosterops_palauensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Zosterops_atriceps,0,1,NA,NA,NA,NA,NA,NA,NA,NA
